rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,small_amount,large_amount,later_delay,choice,exp_id,bonus
680,84,poldrack-text,20,241916,0.0-20.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
678,84,poldrack-text,21,242595,0.0-21.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678,0,fmri_trigger_wait,,,,,,,,,,
-1,-1,poldrack-single-stim,22,243601,0.0-22.0,s638,,1000,0,fmri_buffer,,none,1000,,,,,,,
-1,-1,poldrack-single-stim,23,245107,0.0-23.0,s638,,1500,500,test_start_block,<div class = centerbox><div class = center-text>Get ready!</p></div>,none,1500,,,,,,,
1281,71,poldrack-single-stim,24,250252,0.0-24.0,s638,,4636,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71",4000,,20,67,74,smaller_sooner,,
1336,71,poldrack-single-stim,25,255574,0.0-25.0,s638,,5316,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$29</div><br><br><div class = delbox style = ""color:white"">58 days</div></div>","89,71",4000,,20,29,58,smaller_sooner,,
1507,71,poldrack-single-stim,26,260556,0.0-26.0,s638,,4976,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$39</div><br><br><div class = delbox style = ""color:white"">104 days</div></div>","89,71",4000,,20,39,104,smaller_sooner,,
957,71,poldrack-single-stim,27,265126,0.0-27.0,s638,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$33</div><br><br><div class = delbox style = ""color:white"">103 days</div></div>","89,71",4000,,20,33,103,smaller_sooner,,
1585,71,poldrack-single-stim,28,270651,0.0-28.0,s638,,5520,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$33</div><br><br><div class = delbox style = ""color:white"">78 days</div></div>","89,71",4000,,20,33,78,smaller_sooner,,
3644,89,poldrack-single-stim,29,276245,0.0-29.0,s638,,5588,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$74</div><br><br><div class = delbox style = ""color:white"">52 days</div></div>","89,71",4000,,20,74,52,larger_later,,
929,71,poldrack-single-stim,30,282039,0.0-30.0,s638,,5792,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">132 days</div></div>","89,71",4000,,20,28,132,smaller_sooner,,
893,71,poldrack-single-stim,31,286613,0.0-31.0,s638,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">59 days</div></div>","89,71",4000,,20,28,59,smaller_sooner,,
681,71,poldrack-single-stim,32,291728,0.0-32.0,s638,,5112,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">163 days</div></div>","89,71",4000,,20,28,163,smaller_sooner,,
2672,89,poldrack-single-stim,33,296234,0.0-33.0,s638,,4500,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$32</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71",4000,,20,32,74,larger_later,,
1204,89,poldrack-single-stim,34,301077,0.0-34.0,s638,,4840,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$57</div><br><br><div class = delbox style = ""color:white"">89 days</div></div>","89,71",4000,,20,57,89,larger_later,,
