rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,condition,stim_color,stim_word,trial_num,exp_stage,exp_id
463,82,poldrack-single-stim,83,209727,0.0-26.0-40.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,40,test,
537,71,poldrack-single-stim,84,212138,0.0-26.0-41.0,s638,,2408,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,41,test,
502,89,poldrack-single-stim,85,214281,0.0-26.0-42.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,42,test,
764,71,poldrack-single-stim,86,216964,0.0-26.0-43.0,s638,,2680,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,43,test,
614,71,poldrack-single-stim,87,218969,0.0-26.0-44.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,44,test,
526,71,poldrack-single-stim,88,221108,0.0-26.0-45.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,,incongruent,blue,red,45,test,
466,71,poldrack-single-stim,89,224062,0.0-26.0-46.0,s638,,2952,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,46,test,
859,82,poldrack-single-stim,90,226068,0.0-26.0-47.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,47,test,
822,71,poldrack-single-stim,91,228344,0.0-26.0-48.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,48,test,
760,89,poldrack-single-stim,92,230350,0.0-26.0-49.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,49,test,
637,89,poldrack-single-stim,93,232356,0.0-26.0-50.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,50,test,
453,89,poldrack-single-stim,94,234361,0.0-26.0-51.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,51,test,
769,71,poldrack-single-stim,95,236367,0.0-26.0-52.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,52,test,
631,89,poldrack-single-stim,96,238505,0.0-26.0-53.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,53,test,
580,71,poldrack-single-stim,97,240510,0.0-26.0-54.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,54,test,
790,82,poldrack-single-stim,98,242516,0.0-26.0-55.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,55,test,
560,89,poldrack-single-stim,99,244655,0.0-26.0-56.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,56,test,
684,89,poldrack-single-stim,100,246660,0.0-26.0-57.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,57,test,
671,82,poldrack-single-stim,101,248665,0.0-26.0-58.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,,incongruent,green,red,58,test,
643,89,poldrack-single-stim,102,250803,0.0-26.0-59.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,59,test,
402,89,poldrack-single-stim,103,252945,0.0-26.0-60.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,60,test,
521,82,poldrack-single-stim,104,255222,0.0-26.0-61.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,61,test,
845,82,poldrack-single-stim,105,257908,0.0-26.0-62.0,s638,,2680,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,62,test,
536,82,poldrack-single-stim,106,259912,0.0-26.0-63.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,63,test,
608,71,poldrack-single-stim,107,261918,0.0-26.0-64.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,64,test,
630,89,poldrack-single-stim,108,264196,0.0-26.0-65.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,65,test,
674,71,poldrack-single-stim,109,266201,0.0-26.0-66.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,66,test,
547,71,poldrack-single-stim,110,268206,0.0-26.0-67.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,67,test,
628,89,poldrack-single-stim,111,270211,0.0-26.0-68.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,false,82,,incongruent,green,red,68,test,
1008,71,poldrack-single-stim,112,272217,0.0-26.0-69.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,69,test,
1085,89,poldrack-single-stim,113,274222,0.0-26.0-70.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,70,test,
987,89,poldrack-single-stim,114,276228,0.0-26.0-71.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,71,test,
473,89,poldrack-single-stim,115,278505,0.0-26.0-72.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,72,test,
432,89,poldrack-single-stim,116,280510,0.0-26.0-73.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,73,test,
723,82,poldrack-single-stim,117,282921,0.0-26.0-74.0,s638,,2408,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,,congruent,green,green,74,test,
535,89,poldrack-single-stim,118,284928,0.0-26.0-75.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,75,test,
697,71,poldrack-single-stim,119,287069,0.0-26.0-76.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,76,test,
575,89,poldrack-single-stim,120,289075,0.0-26.0-77.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,false,71,,congruent,blue,blue,77,test,
521,71,poldrack-single-stim,121,291080,0.0-26.0-78.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,78,test,
698,89,poldrack-single-stim,122,293085,0.0-26.0-79.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,79,test,
707,89,poldrack-single-stim,123,295363,0.0-26.0-80.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,80,test,
