movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
110.951	110.614	-0.37021134020618557	0	PA_without_intermediate	ward_and_allport	89	7.0	poldrack-single-stim	169233	s633	False	
111.423	110.956	-0.2402113402061856	0	PA_without_intermediate	ward_and_allport	71	7.0	poldrack-single-stim		s633	False	
111.743	111.425	-0.3892113402061856	0	PA_without_intermediate	ward_and_allport	82	7.0	poldrack-single-stim	169912	s633	False	
111.751	111.752	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	7.0	poldrack-single-stim	170592,171272,171952,172632,173312,173991,174672,175352,176033,176713	s633	True	
121.192	118.923	1.5617886597938144	1	PA_without_intermediate	ward_and_allport	71	8.0	poldrack-single-stim	177392,178072,178752,179432	s633	False	2.985
121.566	121.193	-0.3342113402061856	0	PA_without_intermediate	ward_and_allport	89	8.0	poldrack-single-stim		s633	False	
121.844	121.571	-0.43421134020618557	0	PA_without_intermediate	ward_and_allport	71	8.0	poldrack-single-stim	180113	s633	False	
122.185	121.845	-0.36721134020618557	0	PA_without_intermediate	ward_and_allport	89	8.0	poldrack-single-stim		s633	False	
122.514	122.189	-0.3822113402061856	0	PA_without_intermediate	ward_and_allport	71	8.0	poldrack-single-stim	180792	s633	False	
123.08	122.515	-0.1422113402061856	0	PA_without_intermediate	ward_and_allport	82	8.0	poldrack-single-stim		s633	False	
123.088	123.089	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	8.0	poldrack-single-stim	181478,182152,182832,183512,184192	s633	True	
128.496	125.91	1.8787886597938146	1	PA_with_intermediate	ward_and_allport	71	9.0	poldrack-single-stim	184872,185552,186232	s633	False	2.985
128.845	128.498	-0.36021134020618556	0	PA_with_intermediate	ward_and_allport	82	9.0	poldrack-single-stim	186912	s633	False	
129.272	128.849	-0.2842113402061856	0	PA_with_intermediate	ward_and_allport	71	9.0	poldrack-single-stim	187593	s633	False	
129.69	129.274	-0.2912113402061856	0	PA_with_intermediate	ward_and_allport	89	9.0	poldrack-single-stim		s633	False	
130.848	129.696	0.44478865979381443	0	PA_with_intermediate	ward_and_allport	82	9.0	poldrack-single-stim	188272,188952	s633	False	
131.146	130.85	-0.4112113402061856	0	PA_with_intermediate	ward_and_allport	71	9.0	poldrack-single-stim		s633	False	
131.154	131.155	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	9.0	poldrack-single-stim	189632,190313,190993,191673,192352	s633	True	
137.332	134.112	2.5127886597938147	1	PA_with_intermediate	ward_and_allport	89	10.0	poldrack-single-stim	193031,193712,194391,195072	s633	False	2.985
137.566	137.333	-0.4742113402061856	0	PA_with_intermediate	ward_and_allport	71	10.0	poldrack-single-stim	195752	s633	False	
138.186	137.572	-0.09321134020618559	0	PA_with_intermediate	ward_and_allport	89	10.0	poldrack-single-stim	196432	s633	False	
138.462	138.188	-0.43321134020618557	0	PA_with_intermediate	ward_and_allport	82	10.0	poldrack-single-stim		s633	False	
