onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	worker_id	junk
613.042	0.561	0.030248031496062935	0.0	0.0	motor_selective_stop_signal	89.0	False	71.0	False	crit_go	s608	True
615.498	0.561	0.054248031496062936	0.0	0.0	motor_selective_stop_signal	89.0	False	71.0	False	crit_go	s608	True
618.55	0.561	-0.09375196850393706	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
620.906	0.561	0.05124803149606293	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_signal	s608	False
623.158	0.561	0.14624803149606294	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
625.51	0.561	-0.0057519685039370645	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
627.862	0.561	0.3352480314960629	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
630.214	0.561	0.14324803149606294	0.0	0.0	motor_selective_stop_signal	71.0	False	71.0	False	noncrit_signal	s608	True
632.566	0.561	-0.07975196850393707	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
634.919	0.561	-0.08975196850393706	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
637.174	0.561	-0.010751968503937065	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_stop_failure	s608	False
639.528	0.561	0.24024803149606294	0.0	1.0	motor_selective_stop_signal	89.0	False	71.0	False	noncrit_nosignal	s608	False
641.98	0.561	0.20924803149606294	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
644.333	0.561	0.31324803149606295	0.0	0.0	motor_selective_stop_signal	71.0	False	71.0	False	noncrit_nosignal	s608	True
647.188	0.561	0.07924803149606294	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
649.744	0.561	0.012248031496062935	0.0	1.0	motor_selective_stop_signal	71.0	False	71.0	False	crit_go	s608	False
