movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	worker_id	junk	duration
148.247	147.109	0.29127631578947366	0	PA_with_intermediate	ward_and_allport	82	10.0	poldrack-single-stim	s579	False	
148.251	148.252	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	10.0	poldrack-single-stim	s579	True	
153.57	150.665	2.058276315789474	1	PA_without_intermediate	ward_and_allport	82	11.0	poldrack-single-stim	s579	False	2.985
153.979	153.571	-0.4387236842105264	0	PA_without_intermediate	ward_and_allport	89	11.0	poldrack-single-stim	s579	False	
154.667	153.983	-0.16272368421052635	0	PA_without_intermediate	ward_and_allport	82	11.0	poldrack-single-stim	s579	False	
155.216	154.668	-0.29872368421052636	0	PA_without_intermediate	ward_and_allport	89	11.0	poldrack-single-stim	s579	False	
156.091	155.22	0.024276315789473642	0	PA_without_intermediate	ward_and_allport	82	11.0	poldrack-single-stim	s579	False	
156.614	156.092	-0.32472368421052633	0	PA_without_intermediate	ward_and_allport	71	11.0	poldrack-single-stim	s579	False	
156.617	156.618	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	11.0	poldrack-single-stim	s579	True	
161.785	159.439	1.4992763157894737	1	PA_with_intermediate	ward_and_allport	71	12.0	poldrack-single-stim	s579	False	2.985
162.163	161.787	-0.47072368421052635	0	PA_with_intermediate	ward_and_allport	89	12.0	poldrack-single-stim	s579	False	
162.611	162.168	-0.40372368421052635	0	PA_with_intermediate	ward_and_allport	71	12.0	poldrack-single-stim	s579	False	
163.102	162.612	-0.35672368421052636	0	PA_with_intermediate	ward_and_allport	82	12.0	poldrack-single-stim	s579	False	
163.503	163.106	-0.44972368421052633	0	PA_with_intermediate	ward_and_allport	89	12.0	poldrack-single-stim	s579	False	
164.171	163.504	-0.17972368421052637	0	PA_with_intermediate	ward_and_allport	82	12.0	poldrack-single-stim	s579	False	
164.18	164.181	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	12.0	poldrack-single-stim	s579	True	
172.146	168.36	2.9392763157894737	1	PA_with_intermediate	ward_and_allport	71	13.0	poldrack-single-stim	s579	False	2.985
172.593	172.147	-0.40072368421052634	0	PA_with_intermediate	ward_and_allport	82	13.0	poldrack-single-stim	s579	False	
173.025	172.598	-0.41972368421052636	0	PA_with_intermediate	ward_and_allport	71	13.0	poldrack-single-stim	s579	False	
173.423	173.025	-0.44872368421052633	0	PA_with_intermediate	ward_and_allport	89	13.0	poldrack-single-stim	s579	False	
173.859	173.427	-0.41472368421052636	0	PA_with_intermediate	ward_and_allport	82	13.0	poldrack-single-stim	s579	False	
174.255	173.861	-0.45272368421052633	0	PA_with_intermediate	ward_and_allport	89	13.0	poldrack-single-stim	s579	False	
174.26	174.261	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	13.0	poldrack-single-stim	s579	True	
180.193	177.625	1.7212763157894737	1	PA_with_intermediate	ward_and_allport	71	14.0	poldrack-single-stim	s579	False	2.985
180.63	180.193	-0.40972368421052635	0	PA_with_intermediate	ward_and_allport	82	14.0	poldrack-single-stim	s579	False	
181.046	180.634	-0.4347236842105264	0	PA_with_intermediate	ward_and_allport	71	14.0	poldrack-single-stim	s579	False	
181.404	181.048	-0.49072368421052637	0	PA_with_intermediate	ward_and_allport	89	14.0	poldrack-single-stim	s579	False	
181.78	181.409	-0.47572368421052635	0	PA_with_intermediate	ward_and_allport	82	14.0	poldrack-single-stim	s579	False	
182.12	181.781	-0.5077236842105264	0	PA_with_intermediate	ward_and_allport	71	14.0	poldrack-single-stim	s579	False	
182.127	182.128	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	14.0	poldrack-single-stim	s579	True	
194.001	189.136	4.018276315789474	1	PA_without_intermediate	ward_and_allport	71	15.0	poldrack-single-stim	s579	False	2.985
194.38	194.002	-0.46872368421052635	0	PA_without_intermediate	ward_and_allport	89	15.0	poldrack-single-stim	s579	False	
194.765	194.383	-0.46472368421052634	0	PA_without_intermediate	ward_and_allport	71	15.0	poldrack-single-stim	s579	False	
195.198	194.766	-0.41472368421052636	0	PA_without_intermediate	ward_and_allport	82	15.0	poldrack-single-stim	s579	False	
195.821	195.203	-0.22872368421052636	0	PA_without_intermediate	ward_and_allport	71	15.0	poldrack-single-stim	s579	False	
196.182	195.822	-0.48672368421052636	0	PA_without_intermediate	ward_and_allport	89	15.0	poldrack-single-stim	s579	False	
196.188	196.189	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	15.0	poldrack-single-stim	s579	True	
202.102	198.601	2.6542763157894735	1	PA_with_intermediate	ward_and_allport	89	16.0	poldrack-single-stim	s579	False	2.985
202.524	202.104	-0.42672368421052637	0	PA_with_intermediate	ward_and_allport	71	16.0	poldrack-single-stim	s579	False	
202.918	202.528	-0.45672368421052634	0	PA_with_intermediate	ward_and_allport	89	16.0	poldrack-single-stim	s579	False	
203.364	202.919	-0.40172368421052634	0	PA_with_intermediate	ward_and_allport	82	16.0	poldrack-single-stim	s579	False	
203.764	203.369	-0.45172368421052633	0	PA_with_intermediate	ward_and_allport	71	16.0	poldrack-single-stim	s579	False	
204.222	203.765	-0.38972368421052633	0	PA_with_intermediate	ward_and_allport	82	16.0	poldrack-single-stim	s579	False	
204.23	204.231	-0.8477236842105264	0	PA_with_intermediate	ward_and_allport	-1	16.0	poldrack-single-stim	s579	True	
210.478	207.052	2.579276315789474	1	PA_without_intermediate	ward_and_allport	71	17.0	poldrack-single-stim	s579	False	2.985
210.801	210.479	-0.5247236842105264	0	PA_without_intermediate	ward_and_allport	89	17.0	poldrack-single-stim	s579	False	
211.156	210.804	-0.49472368421052637	0	PA_without_intermediate	ward_and_allport	71	17.0	poldrack-single-stim	s579	False	
211.549	211.157	-0.45472368421052634	0	PA_without_intermediate	ward_and_allport	82	17.0	poldrack-single-stim	s579	False	
211.897	211.555	-0.5047236842105264	0	PA_without_intermediate	ward_and_allport	71	17.0	poldrack-single-stim	s579	False	
212.29	211.898	-0.45472368421052634	0	PA_without_intermediate	ward_and_allport	89	17.0	poldrack-single-stim	s579	False	
212.294	212.295	-0.8477236842105264	0	PA_without_intermediate	ward_and_allport	-1	17.0	poldrack-single-stim	s579	True	
