onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stopped	trial_type	worker_id	junk	condition
94.54	0.55	-0.18451181102362205	700.0	1.0	stop_signal	71.0	True	False	go	636	False	go
96.792	0.55	-0.20651181102362204	700.0	1.0	stop_signal	71.0	True	False	stop_failure	636	False	stop_failure
99.044	0.55	0.598488188976378	650.0	1.0	stop_signal	71.0	True	False	go	636	False	go
100.295	0.55	-0.686511811023622		0.0	stop_signal	-1.0	True	True	go	636	True	go
111.798	0.55	0.08748818897637796	650.0	0.0	stop_signal	89.0	True	False	stop_failure	636	True	stop_failure
114.049	0.55	-0.686511811023622	600.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
116.573	0.55	0.8984881889763779	650.0	1.0	stop_signal	89.0	True	False	go	636	False	go
118.96	0.55	0.32048818897637793	650.0	1.0	stop_signal	71.0	True	False	go	636	False	go
121.483	0.55	-0.09251181102362205	650.0	1.0	stop_signal	89.0	True	False	stop_failure	636	False	stop_failure
123.735	0.55	0.7454881889763779	600.0	1.0	stop_signal	71.0	True	False	go	636	False	go
126.122	0.55	0.5994881889763779	600.0	1.0	stop_signal	89.0	True	False	go	636	False	go
128.509	0.55	0.050488188976377954	600.0	1.0	stop_signal	71.0	True	False	go	636	False	go
130.76	0.55	0.18448818897637795	600.0	1.0	stop_signal	71.0	True	False	go	636	False	go
133.147	0.55	0.027488188976377954	600.0	1.0	stop_signal	89.0	True	False	go	636	False	go
135.535	0.55	-0.15951181102362205	600.0	1.0	stop_signal	89.0	True	False	stop_failure	636	False	stop_failure
137.922	0.55	0.792488188976378	550.0	1.0	stop_signal	89.0	True	False	go	636	False	go
140.581	0.55	0.776488188976378	550.0	1.0	stop_signal	71.0	True	False	go	636	False	go
143.104	0.55	-0.686511811023622	550.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
145.357	0.55	-0.686511811023622	600.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
148.288	0.55	0.569488188976378	650.0	0.0	stop_signal	89.0	True	False	go	636	True	go
150.54	0.55	0.525488188976378	650.0	1.0	stop_signal	71.0	True	False	go	636	False	go
153.063	0.55	-0.686511811023622	650.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
155.314	0.55	0.924488188976378	700.0	1.0	stop_signal	71.0	True	False	go	636	False	go
157.566	0.55	0.312488188976378	700.0	1.0	stop_signal	71.0	True	False	go	636	False	go
159.817	0.55	0.561488188976378	700.0	1.0	stop_signal	89.0	True	False	go	636	False	go
162.068	0.55	0.825488188976378	700.0	1.0	stop_signal	71.0	True	False	go	636	False	go
164.592	0.55	-0.686511811023622	700.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
167.659	0.55	-0.686511811023622	750.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
169.91	0.55	1.470488188976378	800.0	1.0	stop_signal	89.0	True	False	go	636	False	go
172.298	0.55	-0.686511811023622	800.0	0.0	stop_signal	-1.0	True	True	stop_success	636	False	stop_success
174.685	0.55	0.309488188976378	850.0	1.0	stop_signal	71.0	True	False	go	636	False	go
177.208	0.55	0.44948818897637793	850.0	1.0	stop_signal	89.0	True	False	go	636	False	go
