movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	trigger_times	worker_id	junk
351.35	349.845	1.471	0.05865030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	496238,496918,497598,498278	s621	False
356.436	354.811	1.471	0.17865030674846627	AX	1.0	dot_pattern_expectancy	89.0	AX	501678,502359	s621	False
360.362	358.96	1.471	-0.04434969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	505758,506438,507118	s621	False
360.871	359.872	1.471	-0.44734969325153373			dot_pattern_expectancy	-1.0		507799,508478,509158,509838,510518,511198,511878,512558,513237,513917,514597	s621	True
375.464	373.891	1.471	0.12665030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	520718,521398	s621	False
379.592	378.174	1.471	-0.028349693251533723	AX	1.0	dot_pattern_expectancy	89.0	AX	524798,525478	s621	False
383.7	382.182	1.471	0.07165030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	528878,529558,530238,530918	s621	False
388.682	387.151	1.471	0.08465030674846628	AY	0.0	dot_pattern_expectancy	89.0	AY	533639,534318,534999	s621	True
393.712	391.436	1.471	0.8296503067484663	AX	1.0	dot_pattern_expectancy	89.0	AX	538398,539077	s621	False
397.278	395.862	1.471	-0.03034969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	542478,543159,543838	s621	False
401.709	400.282	1.471	-0.019349693251533722	AX	1.0	dot_pattern_expectancy	89.0	AX	547238,547918,548598	s621	False
406.925	405.386	1.471	0.09265030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	551998,552678	s621	False
410.671	409.397	1.471	-0.1723496932515337	BY	1.0	dot_pattern_expectancy	71.0	BY	556078,556758	s621	False
414.696	413.408	1.471	-0.15834969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	560159,560838	s621	False
418.904	417.413	1.471	0.044650306748466276	AX	1.0	dot_pattern_expectancy	89.0	AX	564237,564917	s621	False
422.93	421.563	1.471	-0.07934969325153372	BX	1.0	dot_pattern_expectancy	71.0	BX	568317,568997,569677	s621	False
427.495	426.118	1.471	-0.06934969325153373	AX	1.0	dot_pattern_expectancy	89.0	AX	573078,573759	s621	False
431.709	430.403	1.471	-0.14034969325153374	BX	1.0	dot_pattern_expectancy	71.0	BX	577158,577838,578518,579198	s621	False
437.054	435.505	1.471	0.10265030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	581918,582598,583278	s621	False
440.849	439.513	1.471	-0.11034969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	585999,586678,587358,588038	s621	False
445.797	444.478	1.471	-0.12734969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	591438,592118	s621	False
450.059	448.622	1.471	-0.009349693251533722	AX	1.0	dot_pattern_expectancy	89.0	AX	595518,596198	s621	False
454.195	452.769	1.471	-0.020349693251533723	AX	1.0	dot_pattern_expectancy	89.0	AX	599598,600278	s621	False
458.096	456.777	1.471	-0.12734969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	603678,604359	s621	False
462.318	460.924	1.471	-0.05234969325153372	AX	0.0	dot_pattern_expectancy	71.0	AX	607758,608438	s621	True
466.538	464.932	1.471	0.15965030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	611839,612518,613198	s621	False
471.01	469.628	1.471	-0.06434969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	616597,617277	s621	False
475.085	473.637	1.471	0.001650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	619998,620678,621357	s621	False
479.79	478.058	1.471	0.28565030674846625	BY	1.0	dot_pattern_expectancy	71.0	BY	624759,625438	s621	False
483.584	482.202	1.471	-0.06434969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	628838,629518	s621	False
487.865	486.346	1.471	0.07265030674846627	AX	1.0	dot_pattern_expectancy	89.0	AX	632919,633598,634278	s621	False
491.893	490.493	1.471	-0.04634969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	636998,637678	s621	False
495.777	494.504	1.471	-0.1733496932515337	BY	1.0	dot_pattern_expectancy	71.0	BY	641079,641758,642438	s621	False
500.656	499.062	1.471	0.14765030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	645837,646517,647197	s621	False
505.395	503.755	1.471	0.19365030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	650598,651277	s621	False
509.606	507.902	1.471	0.2576503067484663	AY	1.0	dot_pattern_expectancy	71.0	AY	654678,655359	s621	False
513.443	512.185	1.471	-0.18834969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	658759,659438	s621	False
517.685	516.193	1.471	0.04565030674846628	BX	1.0	dot_pattern_expectancy	71.0	BX	662839,663518,664198	s621	False
521.997	520.617	1.471	-0.06634969325153373	AX	1.0	dot_pattern_expectancy	89.0	AX	667598,668277,668958	s621	False
526.915	525.175	1.471	0.29365030674846626	AX	1.0	dot_pattern_expectancy	89.0	AX	671678,672358,673038	s621	False
530.805	529.321	1.471	0.037650306748466277	AX	1.0	dot_pattern_expectancy	89.0	AX	675759,676438,677118	s621	False
535.057	533.609	1.471	0.001650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	680518,681198	s621	False
539.173	537.754	1.471	-0.027349693251533722	BX	1.0	dot_pattern_expectancy	71.0	BX	684598,685278	s621	False
543.683	542.037	1.471	0.1996503067484663	AX	1.0	dot_pattern_expectancy	89.0	AX	688678,689358	s621	False
543.54	542.541	1.471	-0.44734969325153373			dot_pattern_expectancy	-1.0		690038,690719,691398,692079,692758,693439,694117,694797,695477,696159,696837	s621	True
558.05	556.557	1.471	0.04665030674846628	BY	1.0	dot_pattern_expectancy	71.0	BY	702958,703638,704318	s621	False
562.339	560.699	1.471	0.19365030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	707718,708399	s621	False
566.414	564.71	1.471	0.2576503067484663	AX	1.0	dot_pattern_expectancy	89.0	AX	711118,711798,712479	s621	False
570.6	569.264	1.471	-0.11034969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	715878,716560,717238	s621	False
574.852	573.55	1.471	-0.1443496932515337	BX	1.0	dot_pattern_expectancy	71.0	BX	719958,720637,721318	s621	False
579.201	577.694	1.471	0.060650306748466276	AX	1.0	dot_pattern_expectancy	89.0	AX	724717,725398	s621	False
583.289	581.841	1.471	0.001650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	728798,729478	s621	False
587.31	585.849	1.471	0.014650306748466279	AX	1.0	dot_pattern_expectancy	89.0	AX	732878,733558	s621	False
591.381	589.863	1.471	0.07165030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	736278,736960,737638	s621	False
595.852	594.42	1.471	-0.014349693251533723	AX	1.0	dot_pattern_expectancy	89.0	AX	741039,741718,742399,743078	s621	False
600.797	599.386	1.471	-0.03534969325153372	AX	1.0	dot_pattern_expectancy	89.0	AX	745798,746478,747160	s621	False
605.209	603.804	1.471	-0.041349693251533724	AX	1.0	dot_pattern_expectancy	89.0	AX	750558,751238	s621	False
609.306	607.818	1.471	0.04165030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	754639,755318,755998	s621	False
613.565	612.234	1.471	-0.11534969325153373	BX	1.0	dot_pattern_expectancy	71.0	BX	758718,759398,760078,760758	s621	False
618.483	616.925	1.471	0.11165030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	763479,764158	s621	False
622.221	620.933	1.471	-0.15834969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	767560,768238,768919	s621	False
626.656	625.357	1.471	-0.14734969325153371	BX	1.0	dot_pattern_expectancy	71.0	BX	772318,772997,773677	s621	False
632.175	630.189	1.471	0.5396503067484663	AY	1.0	dot_pattern_expectancy	71.0	AY	777078,777759,778438	s621	False
636.362	635.019	1.471	-0.10334969325153372	BX	1.0	dot_pattern_expectancy	71.0	BX	781838,782518	s621	False
640.76	639.163	1.471	0.15065030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	785918,786598	s621	False
644.696	643.174	1.471	0.07565030674846628	BY	1.0	dot_pattern_expectancy	71.0	BY	789998,790678,791358	s621	False
649.363	647.593	1.471	0.3236503067484663	AX	1.0	dot_pattern_expectancy	89.0	AX	794078,794758,795438	s621	False
653.17	651.604	1.471	0.11965030674846627	AY	1.0	dot_pattern_expectancy	71.0	AY	798159,798837,799517,800198	s621	False
657.983	656.436	1.471	0.10065030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	802918,803598,804278	s621	False
662.025	660.444	1.471	0.1346503067484663	AY	1.0	dot_pattern_expectancy	71.0	AY	806998,807678,808359,809038	s621	False
667.419	665.684	1.471	0.28865030674846626	AX	1.0	dot_pattern_expectancy	89.0	AX	812438,813118	s621	False
671.207	669.692	1.471	0.06865030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	816518,817198	s621	False
675.295	673.836	1.471	0.012650306748466279	AX	1.0	dot_pattern_expectancy	89.0	AX	820598,821278	s621	False
679.522	677.983	1.471	0.09265030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	824677,825358,826037	s621	False
683.599	682.271	1.471	-0.11834969325153372	BY	1.0	dot_pattern_expectancy	71.0	BY	828759,829438,830117	s621	False
688.055	686.554	1.471	0.05465030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	833518,834198	s621	False
692.018	690.562	1.471	0.009650306748466278	BY	1.0	dot_pattern_expectancy	71.0	BY	837598,838278,838959	s621	False
697.004	695.523	1.471	0.03465030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	842358,843039	s621	False
701.195	699.667	1.471	0.08165030674846628	AX	1.0	dot_pattern_expectancy	89.0	AX	846438,847119	s621	False
704.813	703.814	1.471	-0.44734969325153373	BX	0.0	dot_pattern_expectancy	-1.0	BX	850518,851198	s621	True
709.562	707.824	1.471	0.29165030674846626	BX	0.0	dot_pattern_expectancy	89.0	BX	854597,855277	s621	True
713.289	711.835	1.471	0.007650306748466278	AX	1.0	dot_pattern_expectancy	89.0	AX	858677,859359,860038	s621	False
718.223	716.667	1.471	0.10965030674846628	AY	1.0	dot_pattern_expectancy	71.0	AY	863438,864118,864798	s621	False
722.662	721.228	1.471	-0.012349693251533723	AX	1.0	dot_pattern_expectancy	89.0	AX	868198,868879,869559,870239,870918	s621	False
729.412	727.689	1.471	0.2766503067484663	AX	1.0	dot_pattern_expectancy	89.0	AX	874318,874998,875678	s621	False
