onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stopped	trial_type	trigger_times	worker_id	junk	condition
3.018	0.55	0.06811811023622044	300.0	1.0	stop_signal	89.0	True	False	stop_failure	146272,146953,147632,148313,148992	s628	False	stop_failure
6.09	0.55	-0.44188188976377957	250.0	0.0	stop_signal	-1.0	True	True	stop_success	149673,150352,151033,151712	s628	False	stop_success
8.346	0.55	0.13211811023622044	300.0	1.0	stop_signal	89.0	True	False	go	152392,153072,153752	s628	False	go
10.738	0.55	0.033118110236220445	300.0	1.0	stop_signal	89.0	True	False	stop_failure	154431,155112,155791,156472	s628	False	stop_failure
13.127	0.55	0.14211811023622045	250.0	1.0	stop_signal	89.0	True	False	go	157151,157832,158512,159192	s628	False	go
15.65	0.55	0.07011811023622044	250.0	1.0	stop_signal	71.0	True	False	go	159872,160552,161232	s628	False	go
18.038	0.55	0.30411811023622043	250.0	1.0	stop_signal	89.0	True	False	go	161912,162592,163273,163952	s628	False	go
20.426	0.55	-0.44188188976377957	250.0	0.0	stop_signal	-1.0	True	True	stop_success	164632,165312,165993,166672	s628	False	stop_success
23.224	0.55	0.15511811023622044	300.0	1.0	stop_signal	71.0	True	False	go	167353,168032,168713	s628	False	go
25.613	0.55	-0.44188188976377957	300.0	0.0	stop_signal	-1.0	True	True	stop_success	169392,170073,170752	s628	False	stop_success
27.867	0.55	-0.44188188976377957	350.0	0.0	stop_signal	-1.0	True	True	stop_success	171433,172112,172793,173473	s628	False	stop_success
30.392	0.55	0.09511811023622045	400.0	1.0	stop_signal	71.0	True	False	stop_failure	174153,174832,175513,176192	s628	False	stop_failure
32.781	0.55	0.27011811023622045	350.0	1.0	stop_signal	89.0	True	False	go	176873,177553,178233	s628	False	go
35.17	0.55	0.15611811023622044	350.0	1.0	stop_signal	71.0	True	False	stop_failure	178913,179593,180272,180952	s628	False	stop_failure
37.422	0.55	0.3611181102362204	300.0	1.0	stop_signal	71.0	True	False	go	181632,182312,182992	s628	False	go
39.812	0.55	0.039118110236220444	300.0	1.0	stop_signal	89.0	True	False	go	183673,184352,185032	s628	False	go
42.065	0.55	-0.44188188976377957	300.0	0.0	stop_signal	-1.0	True	True	stop_success	185712,186392,187072,187752	s628	False	stop_success
44.321	0.55	0.23111811023622045	350.0	1.0	stop_signal	89.0	True	False	go	188432,189112,189792	s628	False	go
46.574	0.55	0.19011811023622044	350.0	1.0	stop_signal	71.0	True	False	go	190472,191152,191832	s628	False	go
48.966	0.55	-0.44188188976377957	350.0	0.0	stop_signal	-1.0	True	True	stop_success	192513,193192,193873,194552	s628	False	stop_success
51.222	0.55	0.11911811023622045	400.0	1.0	stop_signal	89.0	True	False	stop_failure	195233,195912,196593	s628	False	stop_failure
53.476	0.55	-0.44188188976377957	350.0	0.0	stop_signal	-1.0	True	True	stop_success	197272,197953,198632,199313	s628	False	stop_success
55.865	0.55	-0.44188188976377957	400.0	0.0	stop_signal	-1.0	True	True	stop_success	199993,200673,201353	s628	False	stop_success
58.257	0.55	0.24111811023622046	450.0	1.0	stop_signal	71.0	True	False	go	202033,202713,203393	s628	False	go
60.513	0.55	0.20011811023622045	450.0	1.0	stop_signal	71.0	True	False	stop_failure	204074,204753,205433,206113	s628	False	stop_failure
63.038	0.55	0.4261181102362204	400.0	1.0	stop_signal	71.0	True	False	go	206793,207473,208153,208833	s628	False	go
65.29	0.55	0.44311811023622044	400.0	1.0	stop_signal	89.0	True	False	go	209512,210193,210872	s628	False	go
67.677	0.55	0.31211811023622044	400.0	1.0	stop_signal	71.0	True	False	go	211552,212232,212912	s628	False	go
69.933	0.55	-0.44188188976377957	400.0	0.0	stop_signal	-1.0	True	True	stop_success	213592,214274,214952,215632	s628	False	stop_success
72.186	0.55	0.3611181102362204	450.0	1.0	stop_signal	89.0	True	False	go	216312,216993,217672	s628	False	go
74.578	0.55	0.06011811023622045	450.0	1.0	stop_signal	71.0	True	False	go	218353,219032,219713,220392	s628	False	go
77.103	0.55	0.10811811023622045	450.0	1.0	stop_signal	89.0	True	False	go	221073,221752,222433	s628	False	go
79.49	0.55	-0.06688188976377955	450.0	1.0	stop_signal	71.0	True	False	go	223113,223793,224473,225153	s628	False	go
