onset	duration	response_time	correct	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	trial_type	worker_id	junk
267.855728	0.576	-0.03605426356589146	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
270.473	0.576	-0.05105426356589146	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
273.090864	0.576	-0.03905426356589146	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
275.708592	0.576	-0.012054263565891461	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
278.326456	0.576	-0.01905426356589146	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
280.944	0.576	0.07594573643410854	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
283.561864	0.576	0.07394573643410854	1.0	spatial	attention_network_task	down	right	incongruent	71	poldrack-single-stim	s640	False
286.179864	0.576	0.05094573643410854	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
288.796864	0.576	0.00894573643410854	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
291.414864	0.576	0.029945736434108538	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
294.032728	0.576	0.11294573643410855	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
296.650864	0.576	0.0019457364341085395	1.0	spatial	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
299.262592	0.576	-0.00905426356589146	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
301.879	0.576	-0.02305426356589146	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
304.497864	0.576	-0.02605426356589146	1.0	double	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
307.11	0.576	0.03794573643410854	1.0	spatial	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
309.727864	0.576	0.04294573643410854	1.0	double	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
312.344048	0.576	0.05394573643410854	1.0	spatial	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
314.962728	0.576	0.04994573643410854	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
317.574864	0.576	0.07994573643410854	1.0	double	attention_network_task	down	left	congruent	89	poldrack-single-stim	s640	False
320.193	0.576	0.02794573643410854	1.0	double	attention_network_task	up	left	incongruent	89	poldrack-single-stim	s640	False
322.810864	0.576	0.0019457364341085395	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
325.428	0.576	-0.03705426356589146	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
328.045864	0.576	0.08594573643410854	1.0	spatial	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
330.663728	0.576	0.06994573643410854	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
333.280728	0.576	-0.05005426356589146	1.0	spatial	attention_network_task	up	right	incongruent	71	poldrack-single-stim	s640	False
335.896864	0.576	0.047945736434108537	1.0	double	attention_network_task	down	right	congruent	71	poldrack-single-stim	s640	False
338.517	0.576	-0.02505426356589146	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
341.134864	0.576	-0.03305426356589146	1.0	double	attention_network_task	down	left	incongruent	89	poldrack-single-stim	s640	False
343.752	0.576	-0.03905426356589146	1.0	spatial	attention_network_task	up	right	congruent	71	poldrack-single-stim	s640	False
346.369728	0.576	0.04194573643410854	1.0	double	attention_network_task	up	left	congruent	89	poldrack-single-stim	s640	False
