movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	trigger_times	worker_id	junk
505.44	503.587	1.595	0.18566250000000004	900.0	True	Color	stay	twobytwo	71.0	orange	7.0	cue_stay	color	stay	poldrack-single-stim	617552,618232,618912,619592	s628	False
508.355	506.769	1.595	-0.08133749999999998	900.0	True	High-Low		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	620953,621633,622312	s628	False
510.678	509.812	0.795	-0.0013374999999999772	100.0	True	Orange-Blue		twobytwo	71.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	622992,623672,624352	s628	False
513.425	511.919	1.595	-0.16133749999999997	900.0	True	Color	switch	twobytwo	89.0	#1F45FC	1.0	cue_switch	color	stay	poldrack-single-stim	626393,627072,627753	s628	False
516.86	515.369	1.595	-0.17633749999999998	900.0	True	Magnitude		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	629792,630471,631152	s628	False
520.194	518.548	1.595	-0.021337499999999978	900.0	True	Magnitude	stay	twobytwo	71.0	orange	1.0	cue_stay	magnitude	stay	poldrack-single-stim	632512,633191,633872,634551	s628	False
523.141	521.727	1.595	-0.2533375	900.0	True	Color		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	635911,636592,637271	s628	False
526.651	524.634	1.595	0.34966250000000004	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	638632,639312,639992	s628	False
528.434	527.538	0.795	0.02866250000000002	100.0	True	Orange-Blue		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	640672,641352,642033,642712	s628	False
531.467	529.781	1.595	0.018662500000000023	900.0	True	High-Low		twobytwo	71.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	644072,644752,645432	s628	False
534.261	532.685	1.595	-0.09133749999999997	900.0	True	High-Low	stay	twobytwo	89.0	orange	8.0	cue_stay	magnitude	stay	poldrack-single-stim	646792,647473,648152	s628	False
537.447	535.726	1.595	0.05366250000000002	900.0	True	High-Low	stay	twobytwo	71.0	#1F45FC	2.0	cue_stay	magnitude	stay	poldrack-single-stim	650193,650872,651553	s628	False
539.819	538.903	0.795	0.048662500000000025	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	652233,652912,653592	s628	False
542.408	541.146	0.795	0.3946625	100.0	True	Color	switch	twobytwo	89.0	#1F45FC	3.0	cue_switch	color	stay	poldrack-single-stim	654273,654952,655633,656312	s628	False
545.454	543.525	1.595	0.2616625	900.0	True	Color	stay	twobytwo	71.0	orange	2.0	cue_stay	color	stay	poldrack-single-stim	657671,658352,659031	s628	False
547.621	546.429	0.795	0.3246625	100.0	True	Color	stay	twobytwo	71.0	orange	9.0	cue_stay	color	stay	poldrack-single-stim	659712,660391,661072,661751	s628	False
551.113	549.357	1.595	0.08866250000000002	900.0	True	High-Low		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	663792,664471,665152	s628	False
554.127	552.669	1.595	-0.20933749999999998	900.0	True	Color		twobytwo	89.0	#1F45FC	3.0	task_switch	color	switch	poldrack-single-stim	667191,667872,668552	s628	False
557.464	555.577	1.595	0.2196625	900.0	True	Color	stay	twobytwo	71.0	orange	6.0	cue_stay	color	stay	poldrack-single-stim	669912,670592,671272,671952	s628	False
560.507	559.027	1.595	-0.1873375	900.0	True	Color	stay	twobytwo	71.0	orange	8.0	cue_stay	color	stay	poldrack-single-stim	673313,673992,674672	s628	False
564.112	562.07	1.595	0.3746625	900.0	True	Magnitude		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	676033,676712,677392	s628	False
566.401	564.977	1.595	-0.24333749999999998	900.0	True	High-Low	switch	twobytwo	89.0	orange	7.0	cue_switch	magnitude	stay	poldrack-single-stim	679432,680113,680792	s628	False
569.097	567.881	0.795	0.34866250000000004	100.0	True	Orange-Blue		twobytwo	71.0	orange	6.0	task_switch	color	switch	poldrack-single-stim	681473,682152,682833	s628	False
571.972	570.128	1.595	0.17666250000000003	900.0	True	High-Low		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	684193,684872,685553	s628	False
573.993	573.169	0.795	-0.04333749999999998	100.0	True	Color		twobytwo	89.0	#1F45FC	8.0	task_switch	color	switch	poldrack-single-stim	686911,687592,688271	s628	False
576.567	575.547	0.795	0.15266250000000003	100.0	True	Color	stay	twobytwo	89.0	#1F45FC	4.0	cue_stay	color	stay	poldrack-single-stim	688952,689631,690312,690991,691672	s628	False
