	onset	duration	response_time	trial_type	correct	experiment_exp_id	key_press	stim_color	stim_duration	stim_word	trial_num	worker_id
43	5.791	0.0001	0.924	congruent	1.0	stroop	71	blue	1500.0	blue	0.0	s574
44	7.796	0.0001	0.826	incongruent	1.0	stroop	82	green	1500.0	red	1.0	s574
45	10.207	0.0001	0.535	congruent	1.0	stroop	82	green	1500.0	green	2.0	s574
46	12.212	0.0001	0.488	congruent	1.0	stroop	82	green	1500.0	green	3.0	s574
47	14.351	0.0001	0.971	congruent	1.0	stroop	71	blue	1500.0	blue	4.0	s574
48	16.353	0.0001	0.733	congruent	1.0	stroop	82	green	1500.0	green	5.0	s574
49	18.356	0.0001	1.2	congruent	1.0	stroop	89	red	1500.0	red	6.0	s574
50	20.362	0.0001	1.058	incongruent	1.0	stroop	71	blue	1500.0	red	7.0	s574
51	22.639	0.0001	0.524	congruent	1.0	stroop	89	red	1500.0	red	8.0	s574
52	24.645	0.0001	0.919	incongruent	1.0	stroop	82	green	1500.0	blue	9.0	s574
53	26.922	0.0001	0.903	incongruent	1.0	stroop	89	red	1500.0	blue	10.0	s574
