onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
168.16	0.56	0.1612598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	294599,295278,295958	s629	False
170.415	0.56	-0.6257401574803149	300.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True		296639,297320,297999,298679	s629	True
172.87	0.56	0.051259842519685093	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	299359,300039,300719	s629	False
175.226	0.56	0.0952598425196851	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	301398,302079,302758,303438	s629	False
177.882	0.56	0.000259842519685094	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	304119,304799,305479	s629	False
180.138	0.56	-0.6257401574803149	300.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	306159,306839,307520,308198	s629	False
182.395	0.56	0.05625984251968509	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	308879,309559,310239	s629	False
184.851	0.56	0.3072598425196851	350.0	0.0	motor_selective_stop_signal	71.0	True	89.0	False	crit_go	310919,311599,312279,312959	s629	True
187.105	0.56	0.1922598425196851	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	313639,314319,314999	s629	False
189.661	0.56	0.0772598425196851	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	315678,316358,317038,317719	s629	False
191.917	0.56	0.1142598425196851	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	318398,319078,319758	s629	False
194.27	0.56	-0.6257401574803149	300.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	320439,321119,321798,322478	s629	False
196.526	0.56	0.054259842519685096	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	323158,323839,324519	s629	False
199.082	0.56	0.0752598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	325199,325878,326559,327239	s629	False
201.638	0.56	0.061259842519685095	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	327920,328599,329279	s629	False
203.993	0.56	-0.048740157480314905	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	329958,330639,331319,331999	s629	False
