"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"813","89","poldrack-single-stim","41","160812","0.0-41.0","s641","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">23 days</div></div>","89,71","4000","","20","67","23","larger_later","",""
"744","89","poldrack-single-stim","42","165993","0.0-42.0","s641","","5180","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$77</div><br><br><div class = delbox style = ""color:white"">161 days</div></div>","89,71","4000","","20","77","161","larger_later","",""
"636","89","poldrack-single-stim","43","171243","0.0-43.0","s641","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$55</div><br><br><div class = delbox style = ""color:white"">163 days</div></div>","89,71","4000","","20","55","163","larger_later","",""
"1300","89","poldrack-single-stim","44","175814","0.0-44.0","s641","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$40</div><br><br><div class = delbox style = ""color:white"">159 days</div></div>","89,71","4000","","20","40","159","larger_later","",""
"677","89","poldrack-single-stim","45","180316","0.0-45.0","s641","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$76</div><br><br><div class = delbox style = ""color:white"">161 days</div></div>","89,71","4000","","20","76","161","larger_later","",""
"591","89","poldrack-single-stim","46","185227","0.0-46.0","s641","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$48</div><br><br><div class = delbox style = ""color:white"">128 days</div></div>","89,71","4000","","20","48","128","larger_later","",""
"674","89","poldrack-single-stim","47","189796","0.0-47.0","s641","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$39</div><br><br><div class = delbox style = ""color:white"">95 days</div></div>","89,71","4000","","20","39","95","larger_later","",""
"593","89","poldrack-single-stim","48","195998","0.0-48.0","s641","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$83</div><br><br><div class = delbox style = ""color:white"">105 days</div></div>","89,71","4000","","20","83","105","larger_later","",""
"942","89","poldrack-single-stim","49","200909","0.0-49.0","s641","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">41 days</div></div>","89,71","4000","","20","67","41","larger_later","",""
"578","89","poldrack-single-stim","50","206158","0.0-50.0","s641","","5248","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$56</div><br><br><div class = delbox style = ""color:white"">172 days</div></div>","89,71","4000","","20","56","172","larger_later","",""
"1133","71","poldrack-single-stim","51","211204","0.0-51.0","s641","","5044","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$28</div><br><br><div class = delbox style = ""color:white"">123 days</div></div>","89,71","4000","","20","28","123","smaller_sooner","",""
