"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"427","89","poldrack-single-stim","98","211168","0.0-26.0-55.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","false","71","","incongruent","blue","red","55","test",""
"559","89","poldrack-single-stim","99","213443","0.0-26.0-56.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","56","test",""
"443","89","poldrack-single-stim","100","215445","0.0-26.0-57.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","57","test",""
"500","89","poldrack-single-stim","101","217720","0.0-26.0-58.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","58","test",""
"412","89","poldrack-single-stim","102","219993","0.0-26.0-59.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","59","test",""
"417","89","poldrack-single-stim","103","221996","0.0-26.0-60.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","60","test",""
"405","89","poldrack-single-stim","104","224679","0.0-26.0-61.0","s641","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","61","test",""
"465","89","poldrack-single-stim","105","226681","0.0-26.0-62.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","62","test",""
"421","89","poldrack-single-stim","106","228955","0.0-26.0-63.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","63","test",""
"562","82","poldrack-single-stim","107","230957","0.0-26.0-64.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","64","test",""
"500","89","poldrack-single-stim","108","232960","0.0-26.0-65.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","65","test",""
"530","71","poldrack-single-stim","109","235234","0.0-26.0-66.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","66","test",""
"431","71","poldrack-single-stim","110","237373","0.0-26.0-67.0","s641","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","67","test",""
"383","71","poldrack-single-stim","111","239919","0.0-26.0-68.0","s641","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","68","test",""
"835","82","poldrack-single-stim","112","242329","0.0-26.0-69.0","s641","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","69","test",""
"943","89","poldrack-single-stim","113","244332","0.0-26.0-70.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","70","test",""
"392","71","poldrack-single-stim","114","246335","0.0-26.0-71.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","71","test",""
"423","82","poldrack-single-stim","115","248337","0.0-26.0-72.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","72","test",""
"497","82","poldrack-single-stim","116","250883","0.0-26.0-73.0","s641","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","73","test",""
"394","71","poldrack-single-stim","117","253021","0.0-26.0-74.0","s641","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","74","test",""
"587","82","poldrack-single-stim","118","255024","0.0-26.0-75.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","75","test",""
"630","89","poldrack-single-stim","119","257028","0.0-26.0-76.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","76","test",""
"541","82","poldrack-single-stim","120","259302","0.0-26.0-77.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","77","test",""
"518","71","poldrack-single-stim","121","261305","0.0-26.0-78.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","78","test",""
"437","71","poldrack-single-stim","122","263307","0.0-26.0-79.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","79","test",""
"588","82","poldrack-single-stim","123","265446","0.0-26.0-80.0","s641","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","80","test",""
"562","89","poldrack-single-stim","124","267447","0.0-26.0-81.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","false","71","","incongruent","blue","red","81","test",""
"1173","89","poldrack-single-stim","125","269722","0.0-26.0-82.0","s641","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","82","test",""
"436","71","poldrack-single-stim","126","271861","0.0-26.0-83.0","s641","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","83","test",""
"915","71","poldrack-single-stim","127","274271","0.0-26.0-84.0","s641","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","84","test",""
"480","89","poldrack-single-stim","128","276274","0.0-26.0-85.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","85","test",""
"563","71","poldrack-single-stim","129","278276","0.0-26.0-86.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","86","test",""
"645","71","poldrack-single-stim","130","281094","0.0-26.0-87.0","s641","","2816","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","87","test",""
"673","82","poldrack-single-stim","131","283096","0.0-26.0-88.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","88","test",""
"447","82","poldrack-single-stim","132","285099","0.0-26.0-89.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","89","test",""
"386","82","poldrack-single-stim","133","287237","0.0-26.0-90.0","s641","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","90","test",""
"404","89","poldrack-single-stim","134","289240","0.0-26.0-91.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","91","test",""
"848","82","poldrack-single-stim","135","291242","0.0-26.0-92.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","92","test",""
"432","89","poldrack-single-stim","136","293245","0.0-26.0-93.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","93","test",""
"877","82","poldrack-single-stim","137","295247","0.0-26.0-94.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","94","test",""
"502","82","poldrack-single-stim","138","297250","0.0-26.0-95.0","s641","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","95","test",""
"22553","32","poldrack-single-stim","139","319804","0.0-27.0","s641","","22553","0","end","<div class = centerbox><div class = center-text><i>Fin</i></div></div>","32","22553","","","","","","","","","stroop"
"887","13","text","140","320691","0.0-28.0","s641","","","","","","","","","","","","","","","",""
