"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage"
"","722","82","1500","0","stim","poldrack-categorize","10","73232","0.0-4.0-6.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","4","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","11","73488","0.0-4.0-7.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","421","89","1500","0","stim","poldrack-categorize","12","75493","0.0-4.0-8.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","5","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","13","75746","0.0-4.0-9.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","1070","82","1500","0","stim","poldrack-categorize","14","77749","0.0-4.0-10.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","6","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","15","78005","0.0-4.0-11.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","805","89","1500","0","stim","poldrack-categorize","16","80011","0.0-4.0-12.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","7","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","17","80267","0.0-4.0-13.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","720","82","1500","0","stim","poldrack-categorize","18","82277","0.0-4.0-14.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","8","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","19","82533","0.0-4.0-15.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","375","71","1500","0","stim","poldrack-categorize","20","84539","0.0-4.0-16.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","9","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","21","84795","0.0-4.0-17.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","41796","32","41796","0","fmri_scanner_wait","poldrack-text","22","126593","0.0-5.0","stroop","115039,116888,117939,117972,118239,121037","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1148","84","1148","0","fmri_trigger_wait","poldrack-text","23","127742","0.0-6.0","stroop","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","24","128421","0.0-7.0","stroop","127742","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","25","129102","0.0-8.0","stroop","128421","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","26","129781","0.0-9.0","stroop","129102","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","27","130462","0.0-10.0","stroop","129781","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","28","131141","0.0-11.0","stroop","130462","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","29","131821","0.0-12.0","stroop","131142","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","30","132501","0.0-13.0","stroop","131822","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","31","133182","0.0-14.0","stroop","132502","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","32","133861","0.0-15.0","stroop","133182","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","684","84","684","0","fmri_trigger_wait","poldrack-text","33","134545","0.0-16.0","stroop","133862","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","676","84","676","0","fmri_trigger_wait","poldrack-text","34","135221","0.0-17.0","stroop","134545","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","35","135902","0.0-18.0","stroop","135222","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","36","136582","0.0-19.0","stroop","135902","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","37","137262","0.0-20.0","stroop","136582","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","38","137941","0.0-21.0","stroop","137263","","","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","39","138943","0.0-22.0","stroop","137942,138622","","none","1000","","","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","40","140448","0.0-23.0","stroop","139302,139982","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","41","141455","0.0-24.0","stroop","140661,141342","<div class = centerbox><div class = fixation>+</div></div>","none","500","","","","","","","",""
"","875","71","2272","0","stim","poldrack-single-stim","42","143731","0.0-25.0-0.0","stroop","142021,142702,143381","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","0","test"
"","570","82","2000","0","stim","poldrack-single-stim","43","145735","0.0-25.0-1.0","stroop","144060,144741,145421","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","1","test"
"","511","71","2000","0","stim","poldrack-single-stim","44","147742","0.0-25.0-2.0","stroop","146101,146781,147461","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","2","test"
"","593","71","2000","0","stim","poldrack-single-stim","45","149747","0.0-25.0-3.0","stroop","148141,148821,149502","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","3","test"
"","748","71","2000","0","stim","poldrack-single-stim","46","151749","0.0-25.0-4.0","stroop","150181,150862,151541","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","4","test"
"","446","89","2136","0","stim","poldrack-single-stim","47","153886","0.0-25.0-5.0","stroop","152222,152901,153582","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","5","test"
"","531","89","2000","0","stim","poldrack-single-stim","48","155891","0.0-25.0-6.0","stroop","154261,154941,155621","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","6","test"
"","556","82","2000","0","stim","poldrack-single-stim","49","157897","0.0-25.0-7.0","stroop","156302,156981,157663","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","7","test"
"","361","71","2136","0","stim","poldrack-single-stim","50","160035","0.0-25.0-8.0","stroop","158341,159022,159701","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","8","test"
"","345","89","2000","0","stim","poldrack-single-stim","51","162041","0.0-25.0-9.0","stroop","160382,161061,161742","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","9","test"
"","444","89","2000","0","stim","poldrack-single-stim","52","164046","0.0-25.0-10.0","stroop","162421,163102,163781","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","10","test"
"","583","71","2136","0","stim","poldrack-single-stim","53","166185","0.0-25.0-11.0","stroop","164462,165141,165822","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","11","test"
"","590","71","2136","0","stim","poldrack-single-stim","54","168324","0.0-25.0-12.0","stroop","166502,167182,167862","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","12","test"
"","450","82","2272","0","stim","poldrack-single-stim","55","170600","0.0-25.0-13.0","stroop","168542,169221,169902,170581","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","13","test"
"","636","89","2680","0","stim","poldrack-single-stim","56","173284","0.0-25.0-14.0","stroop","171261,171941,172621","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","14","test"
"","504","89","2000","0","stim","poldrack-single-stim","57","175289","0.0-25.0-15.0","stroop","173301,173981,174661","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","15","test"
"","594","82","2000","0","stim","poldrack-single-stim","58","177295","0.0-25.0-16.0","stroop","175341,176021,176702","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","16","test"
"","552","82","2272","0","stim","poldrack-single-stim","59","179572","0.0-25.0-17.0","stroop","177381,178063,178741,179422","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","17","test"
"","681","89","2000","0","stim","poldrack-single-stim","60","181578","0.0-25.0-18.0","stroop","180101,180782,181461","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","18","test"
"","571","89","2000","0","stim","poldrack-single-stim","61","183583","0.0-25.0-19.0","stroop","182141,182821,183502","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","19","test"
"","584","71","2000","0","stim","poldrack-single-stim","62","185585","0.0-25.0-20.0","stroop","184181,184862,185541","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","20","test"
"","476","71","2000","0","stim","poldrack-single-stim","63","187588","0.0-25.0-21.0","stroop","186222,186901,187582","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","21","test"
"","544","71","2000","0","stim","poldrack-single-stim","64","189594","0.0-25.0-22.0","stroop","188262,188942","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","22","test"
"","395","71","2000","0","stim","poldrack-single-stim","65","191596","0.0-25.0-23.0","stroop","189621,190302,190981","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","23","test"
"","540","89","2272","0","stim","poldrack-single-stim","66","193871","0.0-25.0-24.0","stroop","191662,192342,193022,193702","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","24","test"
"","511","71","2000","0","stim","poldrack-single-stim","67","195877","0.0-25.0-25.0","stroop","194383,195062,195742","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","25","test"
"","373","82","2408","0","stim","poldrack-single-stim","68","198288","0.0-25.0-26.0","stroop","196421,197101,197781","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","26","test"
"","468","89","2000","0","stim","poldrack-single-stim","69","200293","0.0-25.0-27.0","stroop","198461,199141,199821","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","27","test"
"","631","82","2136","0","stim","poldrack-single-stim","70","202432","0.0-25.0-28.0","stroop","200501,201181,201861","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","28","test"
"","545","71","2000","0","stim","poldrack-single-stim","71","204437","0.0-25.0-29.0","stroop","202541,203222,203901","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","29","test"
"","566","82","2000","0","stim","poldrack-single-stim","72","206443","0.0-25.0-30.0","stroop","204582,205261,205942","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","30","test"
"","564","71","2000","0","stim","poldrack-single-stim","73","208447","0.0-25.0-31.0","stroop","206621,207302,207981","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","31","test"
"","621","71","2272","0","stim","poldrack-single-stim","74","210721","0.0-25.0-32.0","stroop","208663,209341,210021,210701","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","32","test"
"","517","89","2000","0","stim","poldrack-single-stim","75","212726","0.0-25.0-33.0","stroop","211382,212061","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","33","test"
"","622","82","2272","0","stim","poldrack-single-stim","76","215003","0.0-25.0-34.0","stroop","212742,213421,214102,214781","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","34","test"
"","388","71","2272","0","stim","poldrack-single-stim","77","217281","0.0-25.0-35.0","stroop","215462,216141,216822","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","35","test"
"","456","71","2000","0","stim","poldrack-single-stim","78","219286","0.0-25.0-36.0","stroop","217502,218182,218862","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","36","test"
"","443","71","2680","0","stim","poldrack-single-stim","79","221969","0.0-25.0-37.0","stroop","219542,220222,220902,221582","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","37","test"
"","523","89","2000","0","stim","poldrack-single-stim","80","223974","0.0-25.0-38.0","stroop","222262,222941,223621","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","38","test"
"","426","71","2272","0","stim","poldrack-single-stim","81","226251","0.0-25.0-39.0","stroop","224301,224982,225661","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","39","test"
"","320","82","2000","0","stim","poldrack-single-stim","82","228257","0.0-25.0-40.0","stroop","226341,227021,227702","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","40","test"
"","379","89","2000","0","stim","poldrack-single-stim","83","230262","0.0-25.0-41.0","stroop","228381,229062,229741","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","41","test"
"","646","82","2272","0","stim","poldrack-single-stim","84","232539","0.0-25.0-42.0","stroop","230422,231101,231781,232461","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","42","test"
"","488","82","2136","0","stim","poldrack-single-stim","85","234679","0.0-25.0-43.0","stroop","233141,233821,234502","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","43","test"
"","492","71","2544","0","stim","poldrack-single-stim","86","237224","0.0-25.0-44.0","stroop","235181,235862,236541,237222","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","44","test"
"","864","89","2408","0","stim","poldrack-single-stim","87","239633","0.0-25.0-45.0","stroop","237901,238581,239262","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","45","test"
"","741","71","2000","0","stim","poldrack-single-stim","88","241638","0.0-25.0-46.0","stroop","239942,240622,241302","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","46","test"
"","485","71","2000","0","stim","poldrack-single-stim","89","243641","0.0-25.0-47.0","stroop","241982,242662,243342","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","47","test"
"","620","82","2000","0","stim","poldrack-single-stim","90","245648","0.0-25.0-48.0","stroop","244023,244702,245382","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","48","test"
"","531","89","2544","0","stim","poldrack-single-stim","91","248194","0.0-25.0-49.0","stroop","246062,246742,247422,248103","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","49","test"
"","547","71","2136","0","stim","poldrack-single-stim","92","250333","0.0-25.0-50.0","stroop","248782,249462,250141","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","50","test"
"","431","71","2000","0","stim","poldrack-single-stim","93","252338","0.0-25.0-51.0","stroop","250821,251501,252181","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","51","test"
"","358","71","2000","0","stim","poldrack-single-stim","94","254343","0.0-25.0-52.0","stroop","252861,253541,254221","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","52","test"
"","497","82","2272","0","stim","poldrack-single-stim","95","256619","0.0-25.0-53.0","stroop","254901,255581,256261","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","53","test"
"","478","89","2000","0","stim","poldrack-single-stim","96","258621","0.0-25.0-54.0","stroop","256941,257622,258302","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","54","test"
"","384","71","2000","0","stim","poldrack-single-stim","97","260624","0.0-25.0-55.0","stroop","258981,259662,260341","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","55","test"
"","373","71","2136","0","stim","poldrack-single-stim","98","262765","0.0-25.0-56.0","stroop","261022,261701,262382","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","56","test"
"","616","89","2000","0","stim","poldrack-single-stim","99","264768","0.0-25.0-57.0","stroop","263062,263742,264422","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","57","test"
"","494","82","2272","0","stim","poldrack-single-stim","100","267043","0.0-25.0-58.0","stroop","265102,265782,266462","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","58","test"
"","384","71","2136","0","stim","poldrack-single-stim","101","269181","0.0-25.0-59.0","stroop","267142,267822,268502","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","59","test"
"","702","89","2408","0","stim","poldrack-single-stim","102","271592","0.0-25.0-60.0","stroop","269183,269862,270542,271222","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","false","82","","incongruent","green","blue","60","test"
"","456","89","2000","0","stim","poldrack-single-stim","103","273598","0.0-25.0-61.0","stroop","271902,272582,273262","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","61","test"
"","619","82","2000","0","stim","poldrack-single-stim","104","275603","0.0-25.0-62.0","stroop","273942,274622,275301","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","62","test"
"","498","89","2816","0","stim","poldrack-single-stim","105","278424","0.0-25.0-63.0","stroop","275982,276661,277341,278021","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","63","test"
"","618","89","2000","0","stim","poldrack-single-stim","106","280428","0.0-25.0-64.0","stroop","278702,279381,280062","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","64","test"
"","787","82","2000","0","stim","poldrack-single-stim","107","282430","0.0-25.0-65.0","stroop","280741,281422,282101","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","65","test"
"","498","71","2136","0","stim","poldrack-single-stim","108","284569","0.0-25.0-66.0","stroop","282782,283461,284142","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","66","test"
"","533","82","2000","0","stim","poldrack-single-stim","109","286574","0.0-25.0-67.0","stroop","284821,285502,286181","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","67","test"
"","894","82","2000","0","stim","poldrack-single-stim","110","288579","0.0-25.0-68.0","stroop","286862,287541,288222","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","68","test"
"","519","89","2000","0","stim","poldrack-single-stim","111","290585","0.0-25.0-69.0","stroop","288902,289582,290262","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","69","test"
"","678","82","2000","0","stim","poldrack-single-stim","112","292590","0.0-25.0-70.0","stroop","290942,291622,292302","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","70","test"
"","541","82","2000","0","stim","poldrack-single-stim","113","294596","0.0-25.0-71.0","stroop","292982,293662,294342","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","71","test"
"","652","82","2000","0","stim","poldrack-single-stim","114","296601","0.0-25.0-72.0","stroop","295023,295702,296382","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","72","test"
"","461","89","2000","0","stim","poldrack-single-stim","115","298607","0.0-25.0-73.0","stroop","297062,297742,298422","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","73","test"
"","431","89","2272","0","stim","poldrack-single-stim","116","300884","0.0-25.0-74.0","stroop","299103,299782,300463","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","74","test"
"","346","71","2000","0","stim","poldrack-single-stim","117","302889","0.0-25.0-75.0","stroop","301141,301822,302501","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","75","test"
"","576","89","2136","0","stim","poldrack-single-stim","118","305027","0.0-25.0-76.0","stroop","303182,303861,304542","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","76","test"
"","875","71","2000","0","stim","poldrack-single-stim","119","307028","0.0-25.0-77.0","stroop","305221,305902,306581","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","77","test"
