block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",618,500.0,,385815,0.0,probe,2.0,poldrack-single-stim,s625
1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",552,500.0,,390103,0.0,probe,3.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",494,500.0,,394527,0.0,probe,4.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",399,500.0,,398946,0.0,probe,5.0,poldrack-single-stim,s625
2588.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",370,500.0,,404050,0.0,probe,6.0,poldrack-single-stim,s625
1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",578,500.0,,408067,0.0,probe,7.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",382,500.0,,412077,0.0,probe,8.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",403,500.0,,416088,0.0,probe,9.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",357,500.0,,420235,0.0,probe,10.0,poldrack-single-stim,s625
2044.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",323,500.0,,424793,0.0,probe,11.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",371,500.0,,429080,0.0,probe,12.0,poldrack-single-stim,s625
2588.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",314,500.0,,434185,0.0,probe,13.0,poldrack-single-stim,s625
1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",703,500.0,,438201,0.0,probe,14.0,poldrack-single-stim,s625
2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",313,500.0,,443161,0.0,probe,15.0,poldrack-single-stim,s625
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",517,500.0,,447311,0.0,probe,16.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",409,500.0,,451460,0.0,probe,17.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",404,500.0,,455476,0.0,probe,18.0,poldrack-single-stim,s625
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",309,500.0,,459626,0.0,probe,19.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",483,500.0,,463642,0.0,probe,20.0,poldrack-single-stim,s625
2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",470,500.0,,468330,0.0,probe,21.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",434,500.0,,472347,0.0,probe,22.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",475,500.0,,476764,0.0,probe,23.0,poldrack-single-stim,s625
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",251,500.0,,480912,0.0,probe,24.0,poldrack-single-stim,s625
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",251,500.0,,485062,0.0,probe,25.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",525,500.0,,489211,0.0,probe,26.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",622,500.0,,493227,0.0,probe,27.0,poldrack-single-stim,s625
2044.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",272,500.0,,497780,0.0,probe,28.0,poldrack-single-stim,s625
2180.0,AY,0.0,71.0,test,dot_pattern_expectancy,89.0,"89,71",642,500.0,,502476,0.0,probe,29.0,poldrack-single-stim,s625
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",610,500.0,,506625,0.0,probe,30.0,poldrack-single-stim,s625
1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",912,500.0,,510913,0.0,probe,31.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",607,500.0,,514926,0.0,probe,32.0,poldrack-single-stim,s625
1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",515,500.0,,519340,0.0,probe,33.0,poldrack-single-stim,s625
2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",343,500.0,,523900,0.0,probe,34.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",389,500.0,,528050,0.0,probe,35.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",509,500.0,,532333,0.0,probe,36.0,poldrack-single-stim,s625
