block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
3088.0,PA_without_intermediate,True,,test,ward_and_allport,,-1,3.0,3.0,none,0.0,10850.0,-1,,1000.0,,47653,0.0,feedback,poldrack-single-stim,s445
3078.0,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,1.0,71,1.0,,3078,"0,0,0,1,2,3,0,0,0",3078.0,,50733,0.0,to_hand,poldrack-single-stim,s445
589.0,PA_with_intermediate,,"3,0,0,1,2,0,0,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",89,3.0,1.0,"89,71,82",1.0,,589,"0,0,0,1,2,3,0,0,0",589.0,,51323,0.0,to_board,poldrack-single-stim,s445
406.0,PA_with_intermediate,,"3,0,0,1,0,0,0,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,2.0,"89,71",1.0,,406,"0,0,0,1,2,3,0,0,0",406.0,,51731,0.0,to_hand,poldrack-single-stim,s445
316.0,PA_with_intermediate,,"3,0,0,1,0,0,2,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",82,3.0,2.0,"89,71,82",1.0,,316,"0,0,0,1,2,3,0,0,0",316.0,,52048,0.0,to_board,poldrack-single-stim,s445
388.0,PA_with_intermediate,,"3,0,0,0,0,0,2,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,3.0,"89,71,82",1.0,,388,"0,0,0,1,2,3,0,0,0",388.0,,52438,0.0,to_hand,poldrack-single-stim,s445
665.0,PA_with_intermediate,,"3,0,0,1,0,0,2,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,3.0,"89,71,82",1.0,,665,"0,0,0,1,2,3,0,0,0",665.0,,53104,0.0,to_board,poldrack-single-stim,s445
349.0,PA_with_intermediate,,"0,0,0,1,0,0,2,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",89,3.0,4.0,"89,71,82",1.0,,349,"0,0,0,1,2,3,0,0,0",349.0,,53456,0.0,to_hand,poldrack-single-stim,s445
580.0,PA_with_intermediate,,"0,0,0,1,3,0,2,0,0",test,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,4.0,"89,71,82",1.0,,580,"0,0,0,1,2,3,0,0,0",580.0,,54036,0.0,to_board,poldrack-single-stim,s445
2000.0,PA_with_intermediate,True,,test,ward_and_allport,,-1,3.0,4.0,none,1.0,8387.0,-1,,1000.0,,56040,0.0,feedback,poldrack-single-stim,s445
2919.0,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",test,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,1.0,89,2.0,,2919,"1,2,3,0,0,0,0,0,0",2919.0,,58962,0.0,to_hand,poldrack-single-stim,s445
572.0,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",test,ward_and_allport,"0,0,0,2,0,0,3,1,0",82,3.0,1.0,"89,71,82",2.0,,572,"1,2,3,0,0,0,0,0,0",572.0,,59534,0.0,to_board,poldrack-single-stim,s445
