CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",810.0,#1F45FC,1000.0,3.0,cue_stay,magnitude,stay,,107685,0.0,stim,37.0,poldrack-single-stim,s251
900.0,2272.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",568.0,#1F45FC,1000.0,8.0,cue_switch,magnitude,stay,,110860,0.0,stim,38.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",999.0,orange,1000.0,3.0,task_switch,color,switch,,112965,0.0,stim,39.0,poldrack-single-stim,s251
100.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",726.0,#1F45FC,1000.0,4.0,task_switch,magnitude,switch,,115207,0.0,stim,40.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",900.0,#1F45FC,1000.0,6.0,task_switch,color,switch,,118247,0.0,stim,41.0,poldrack-single-stim,s251
900.0,2544.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",427.0,orange,1000.0,4.0,cue_stay,color,stay,,121696,0.0,stim,42.0,poldrack-single-stim,s251
900.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",585.0,orange,1000.0,1.0,task_switch,magnitude,switch,,124602,0.0,stim,43.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",593.0,orange,1000.0,2.0,cue_stay,magnitude,stay,,127644,0.0,stim,44.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",569.0,#1F45FC,1000.0,8.0,task_switch,color,switch,,130686,0.0,stim,45.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",814.0,#1F45FC,1000.0,2.0,task_switch,magnitude,switch,,133725,0.0,stim,46.0,poldrack-single-stim,s251
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",636.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,136630,0.0,stim,47.0,poldrack-single-stim,s251
100.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",823.0,#1F45FC,1000.0,4.0,task_switch,magnitude,switch,,138872,0.0,stim,48.0,poldrack-single-stim,s251
100.0,2000.0,False,71.0,High-Low,stay,test,twobytwo,,89.0,"89,71",997.0,#1F45FC,1000.0,8.0,cue_stay,magnitude,stay,,140977,0.0,stim,49.0,poldrack-single-stim,s251
100.0,2136.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",886.0,#1F45FC,1000.0,9.0,cue_switch,magnitude,stay,,143220,0.0,stim,50.0,poldrack-single-stim,s251
100.0,2816.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",807.0,orange,1000.0,6.0,task_switch,color,switch,,146140,0.0,stim,51.0,poldrack-single-stim,s251
100.0,2136.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",682.0,#1F45FC,1000.0,3.0,cue_stay,color,stay,,148382,0.0,stim,52.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",801.0,orange,1000.0,4.0,cue_stay,color,stay,,150487,0.0,stim,53.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",492.0,orange,1000.0,8.0,task_switch,magnitude,switch,,153393,0.0,stim,54.0,poldrack-single-stim,s251
100.0,2272.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",665.0,orange,1000.0,8.0,cue_stay,magnitude,stay,,155770,0.0,stim,55.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",925.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,157874,0.0,stim,56.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",839.0,#1F45FC,1000.0,2.0,task_switch,magnitude,switch,,159979,0.0,stim,57.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",887.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,162085,0.0,stim,58.0,poldrack-single-stim,s251
100.0,2408.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",599.0,orange,1000.0,6.0,task_switch,magnitude,switch,,164598,0.0,stim,59.0,poldrack-single-stim,s251
900.0,2272.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",938.0,orange,1000.0,2.0,cue_stay,magnitude,stay,,167776,0.0,stim,60.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",605.0,#1F45FC,1000.0,8.0,task_switch,color,switch,,170816,0.0,stim,61.0,poldrack-single-stim,s251
900.0,2000.0,False,89.0,Color,switch,test,twobytwo,,71.0,"89,71",799.0,#1F45FC,1000.0,8.0,cue_switch,color,stay,,173721,0.0,stim,62.0,poldrack-single-stim,s251
900.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",618.0,orange,1000.0,3.0,task_switch,magnitude,switch,,176626,0.0,stim,63.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",604.0,orange,1000.0,2.0,task_switch,color,switch,,179668,0.0,stim,64.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",1048.0,orange,1000.0,7.0,task_switch,magnitude,switch,,181773,0.0,stim,65.0,poldrack-single-stim,s251
100.0,2136.0,False,71.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",875.0,orange,1000.0,8.0,task_switch,color,switch,,184014,0.0,stim,66.0,poldrack-single-stim,s251
100.0,2408.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",879.0,orange,1000.0,1.0,cue_stay,color,stay,,186526,0.0,stim,67.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",660.0,orange,1000.0,9.0,task_switch,magnitude,switch,,189569,0.0,stim,68.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",837.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,191674,0.0,stim,69.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",769.0,orange,1000.0,1.0,task_switch,magnitude,switch,,194715,0.0,stim,70.0,poldrack-single-stim,s251
900.0,2272.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",781.0,#1F45FC,1000.0,2.0,cue_stay,magnitude,stay,,197892,0.0,stim,71.0,poldrack-single-stim,s251
900.0,2000.0,False,89.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1163.0,#1F45FC,1000.0,3.0,task_switch,color,switch,,200798,0.0,stim,72.0,poldrack-single-stim,s251
100.0,2408.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",945.0,orange,1000.0,4.0,task_switch,magnitude,switch,,203311,0.0,stim,73.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",1151.0,#1F45FC,1000.0,8.0,cue_switch,magnitude,stay,,206218,0.0,stim,74.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",589.0,orange,1000.0,6.0,task_switch,color,switch,,209260,0.0,stim,75.0,poldrack-single-stim,s251
100.0,2408.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",857.0,#1F45FC,1000.0,7.0,task_switch,magnitude,switch,,211772,0.0,stim,76.0,poldrack-single-stim,s251
100.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",770.0,orange,1000.0,6.0,task_switch,color,switch,,214012,0.0,stim,77.0,poldrack-single-stim,s251
100.0,2408.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",782.0,orange,1000.0,3.0,task_switch,magnitude,switch,,216526,0.0,stim,78.0,poldrack-single-stim,s251
100.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",930.0,orange,1000.0,4.0,task_switch,color,switch,,218766,0.0,stim,79.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",618.0,orange,1000.0,9.0,task_switch,magnitude,switch,,235181,0.0,stim,0.0,poldrack-single-stim,s251
100.0,2272.0,False,89.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",807.0,orange,1000.0,1.0,cue_stay,magnitude,stay,,237557,0.0,stim,1.0,poldrack-single-stim,s251
900.0,2000.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",707.0,orange,1000.0,1.0,cue_switch,magnitude,stay,,240462,0.0,stim,2.0,poldrack-single-stim,s251
900.0,2272.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",564.0,orange,1000.0,7.0,cue_switch,magnitude,stay,,243640,0.0,stim,3.0,poldrack-single-stim,s251
900.0,2272.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",705.0,#1F45FC,1000.0,4.0,cue_switch,magnitude,stay,,246817,0.0,stim,4.0,poldrack-single-stim,s251
900.0,2952.0,False,89.0,Color,,test,twobytwo,,-1.0,"89,71",-1.0,#1F45FC,1000.0,8.0,task_switch,color,switch,,250674,0.0,stim,5.0,poldrack-single-stim,s251
100.0,2680.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",852.0,#1F45FC,1000.0,7.0,cue_stay,color,stay,,253459,0.0,stim,6.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",550.0,#1F45FC,1000.0,9.0,task_switch,magnitude,switch,,256498,0.0,stim,7.0,poldrack-single-stim,s251
100.0,2272.0,False,89.0,High-Low,switch,test,twobytwo,,71.0,"89,71",978.0,orange,1000.0,4.0,cue_switch,magnitude,stay,,258876,0.0,stim,8.0,poldrack-single-stim,s251
