block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
5384.0,smaller_sooner,,discount_fixed,71,72.0,95.0,"89,71",3452,20.0,4000.0,,375006,0.0,,poldrack-single-stim,s590
5044.0,smaller_sooner,,discount_fixed,71,30.0,36.0,"89,71",2395,20.0,4000.0,,380054,0.0,,poldrack-single-stim,s590
4704.0,smaller_sooner,,discount_fixed,71,41.0,129.0,"89,71",1354,20.0,4000.0,,384761,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,78.0,129.0,"89,71",1178,20.0,4000.0,,389673,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,71.0,88.0,"89,71",1467,20.0,4000.0,,394585,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,65.0,159.0,"89,71",1127,20.0,4000.0,,399428,0.0,,poldrack-single-stim,s590
5112.0,smaller_sooner,,discount_fixed,71,24.0,125.0,"89,71",988,20.0,4000.0,,404542,0.0,,poldrack-single-stim,s590
5112.0,larger_later,,discount_fixed,89,58.0,36.0,"89,71",1550,20.0,4000.0,,409657,0.0,,poldrack-single-stim,s590
4704.0,larger_later,,discount_fixed,89,63.0,37.0,"89,71",1218,20.0,4000.0,,414367,0.0,,poldrack-single-stim,s590
4840.0,larger_later,,discount_fixed,89,75.0,41.0,"89,71",1304,20.0,4000.0,,419209,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,45.0,72.0,"89,71",1488,20.0,4000.0,,424052,0.0,,poldrack-single-stim,s590
6880.0,smaller_sooner,,discount_fixed,71,25.0,74.0,"89,71",1607,20.0,4000.0,,430938,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,65.0,137.0,"89,71",1412,20.0,4000.0,,435509,0.0,,poldrack-single-stim,s590
4772.0,smaller_sooner,,discount_fixed,71,49.0,140.0,"89,71",988,20.0,4000.0,,440283,0.0,,poldrack-single-stim,s590
7016.0,smaller_sooner,,discount_fixed,71,67.0,103.0,"89,71",2448,20.0,4000.0,,447301,0.0,,poldrack-single-stim,s590
4704.0,smaller_sooner,,discount_fixed,71,69.0,172.0,"89,71",1497,20.0,4000.0,,452009,0.0,,poldrack-single-stim,s590
5180.0,smaller_sooner,,discount_fixed,71,66.0,71.0,"89,71",1454,20.0,4000.0,,457195,0.0,,poldrack-single-stim,s590
5044.0,smaller_sooner,,discount_fixed,71,71.0,176.0,"89,71",1509,20.0,4000.0,,462242,0.0,,poldrack-single-stim,s590
5316.0,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",1779,20.0,4000.0,,467563,0.0,,poldrack-single-stim,s590
4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",1119,20.0,4000.0,,472134,0.0,,poldrack-single-stim,s590
4636.0,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1506,20.0,4000.0,,476771,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,27.0,142.0,"89,71",1144,20.0,4000.0,,481680,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",1161,20.0,4000.0,,486183,0.0,,poldrack-single-stim,s590
4976.0,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",1851,20.0,4000.0,,491164,0.0,,poldrack-single-stim,s590
4908.0,larger_later,,discount_fixed,89,41.0,27.0,"89,71",1172,20.0,4000.0,,496076,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",1658,20.0,4000.0,,500647,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",1504,20.0,4000.0,,505148,0.0,,poldrack-single-stim,s590
6200.0,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",1099,20.0,4000.0,,511351,0.0,,poldrack-single-stim,s590
4704.0,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",1316,20.0,4000.0,,516056,0.0,,poldrack-single-stim,s590
5044.0,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",1822,20.0,4000.0,,521101,0.0,,poldrack-single-stim,s590
5044.0,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",907,20.0,4000.0,,526147,0.0,,poldrack-single-stim,s590
5180.0,larger_later,,discount_fixed,89,58.0,55.0,"89,71",1703,20.0,4000.0,,531330,0.0,,poldrack-single-stim,s590
4976.0,larger_later,,discount_fixed,89,81.0,58.0,"89,71",1395,20.0,4000.0,,536312,0.0,,poldrack-single-stim,s590
4772.0,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",1234,20.0,4000.0,,541085,0.0,,poldrack-single-stim,s590
4772.0,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",722,20.0,4000.0,,545859,0.0,,poldrack-single-stim,s590
