"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","bonus"
"","489","89","4840","0","","poldrack-single-stim","105","522569","0.0-105.0","discount_fixed","517882,518563,519242,519922,520603,521282,521962","<div class = dd-stim><div class = amtbox style = ""color:white"">$75</div><br><br><div class = delbox style = ""color:white"">41 days</div></div>","89,71","4000","","20","75","41","larger_later",""
"","486","89","4840","0","","poldrack-single-stim","106","527412","0.0-106.0","discount_fixed","522642,523322,524002,524682,525363,526042,526723,527402","<div class = dd-stim><div class = amtbox style = ""color:white"">$45</div><br><br><div class = delbox style = ""color:white"">72 days</div></div>","89,71","4000","","20","45","72","larger_later",""
"","458","89","6880","0","","poldrack-single-stim","107","534297","0.0-107.0","discount_fixed","528083,528762,529443,530122,530802,531482,532162,532842,533522,534202","<div class = dd-stim><div class = amtbox style = ""color:white"">$25</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71","4000","","20","25","74","larger_later",""
"","385","89","4568","0","","poldrack-single-stim","108","538868","0.0-108.0","discount_fixed","534882,535562,536242,536922,537602,538282","<div class = dd-stim><div class = amtbox style = ""color:white"">$65</div><br><br><div class = delbox style = ""color:white"">137 days</div></div>","89,71","4000","","20","65","137","larger_later",""
"","1209","89","4772","0","","poldrack-single-stim","109","543641","0.0-109.0","discount_fixed","538962,539642,540322,541003,541682,542362,543042","<div class = dd-stim><div class = amtbox style = ""color:white"">$49</div><br><br><div class = delbox style = ""color:white"">140 days</div></div>","89,71","4000","","20","49","140","larger_later",""
"","436","89","7016","0","","poldrack-single-stim","110","550660","0.0-110.0","discount_fixed","543723,544403,545082,545763,546442,547122,547802,548482,549162,549842,550523","<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">103 days</div></div>","89,71","4000","","20","67","103","larger_later",""
"","417","89","4704","0","","poldrack-single-stim","111","555370","0.0-111.0","discount_fixed","551203,551882,552563,553243,553923,554603,555281","<div class = dd-stim><div class = amtbox style = ""color:white"">$69</div><br><br><div class = delbox style = ""color:white"">172 days</div></div>","89,71","4000","","20","69","172","larger_later",""
"","792","89","5180","0","","poldrack-single-stim","112","560551","0.0-112.0","discount_fixed","555963,556641,557322,558002,558682,559362,560042","<div class = dd-stim><div class = amtbox style = ""color:white"">$66</div><br><br><div class = delbox style = ""color:white"">71 days</div></div>","89,71","4000","","20","66","71","larger_later",""
"","435","89","5044","0","","poldrack-single-stim","113","565600","0.0-113.0","discount_fixed","560722,561403,562082,562762,563442,564122,564802,565482","<div class = dd-stim><div class = amtbox style = ""color:white"">$71</div><br><br><div class = delbox style = ""color:white"">176 days</div></div>","89,71","4000","","20","71","176","larger_later",""
"","456","89","5316","0","","poldrack-single-stim","114","570917","0.0-114.0","discount_fixed","566162,566842,567522,568203,568882,569562,570242","<div class = dd-stim><div class = amtbox style = ""color:white"">$31</div><br><br><div class = delbox style = ""color:white"">76 days</div></div>","89,71","4000","","20","31","76","larger_later",""
"","986","89","4568","0","","poldrack-single-stim","115","575488","0.0-115.0","discount_fixed","570922,571603,572282,572962,573643,574322,575002","<div class = dd-stim><div class = amtbox style = ""color:white"">$43</div><br><br><div class = delbox style = ""color:white"">19 days</div></div>","89,71","4000","","20","43","19","larger_later",""
"","918","89","4636","0","","poldrack-single-stim","116","580126","0.0-116.0","discount_fixed","575682,576363,577042,577722,578402,579083,579763","<div class = dd-stim><div class = amtbox style = ""color:white"">$60</div><br><br><div class = delbox style = ""color:white"">124 days</div></div>","89,71","4000","","20","60","124","larger_later",""
"","927","89","4908","0","","poldrack-single-stim","117","585035","0.0-117.0","discount_fixed","580443,581122,581804,582481,583162,583841,584522","<div class = dd-stim><div class = amtbox style = ""color:white"">$27</div><br><br><div class = delbox style = ""color:white"">142 days</div></div>","89,71","4000","","20","27","142","larger_later",""
"","652","89","4500","0","","poldrack-single-stim","118","589537","0.0-118.0","discount_fixed","585202,585882,586561,587242,587922,588602,589282","<div class = dd-stim><div class = amtbox style = ""color:white"">$25</div><br><br><div class = delbox style = ""color:white"">70 days</div></div>","89,71","4000","","20","25","70","larger_later",""
"","660","89","4976","0","","poldrack-single-stim","119","594515","0.0-119.0","discount_fixed","589962,590642,591322,592002,592682,593362,594042","<div class = dd-stim><div class = amtbox style = ""color:white"">$44</div><br><br><div class = delbox style = ""color:white"">92 days</div></div>","89,71","4000","","20","44","92","larger_later",""
"","1465","89","4908","0","","poldrack-single-stim","120","599425","0.0-120.0","discount_fixed","594722,595402,596082,596762,597442,598123,598802","<div class = dd-stim><div class = amtbox style = ""color:white"">$41</div><br><br><div class = delbox style = ""color:white"">27 days</div></div>","89,71","4000","","20","41","27","larger_later",""
"","671","89","4568","0","","poldrack-single-stim","121","603996","0.0-121.0","discount_fixed","599482,600162,600843,601522,602203,602882,603562","<div class = dd-stim><div class = amtbox style = ""color:white"">$64</div><br><br><div class = delbox style = ""color:white"">89 days</div></div>","89,71","4000","","20","64","89","larger_later",""
"","1966","89","4500","0","","poldrack-single-stim","122","608497","0.0-122.0","discount_fixed","604243,604922,605602,606282,606962,607641,608322","<div class = dd-stim><div class = amtbox style = ""color:white"">$78</div><br><br><div class = delbox style = ""color:white"">108 days</div></div>","89,71","4000","","20","78","108","larger_later",""
"","1031","89","6200","0","","poldrack-single-stim","123","614702","0.0-123.0","discount_fixed","609002,609682,610362,611042,611722,612403,613082,613762,614442","<div class = dd-stim><div class = amtbox style = ""color:white"">$80</div><br><br><div class = delbox style = ""color:white"">145 days</div></div>","89,71","4000","","20","80","145","larger_later",""
"","853","89","4704","0","","poldrack-single-stim","124","619410","0.0-124.0","discount_fixed","615122,615802,616482,617162,617842,618522,619202","<div class = dd-stim><div class = amtbox style = ""color:white"">$41</div><br><br><div class = delbox style = ""color:white"">174 days</div></div>","89,71","4000","","20","41","174","larger_later",""
"","1430","89","5044","0","","poldrack-single-stim","125","624455","0.0-125.0","discount_fixed","619882,620562,621242,621922,622603,623282,623962","<div class = dd-stim><div class = amtbox style = ""color:white"">$42</div><br><br><div class = delbox style = ""color:white"">145 days</div></div>","89,71","4000","","20","42","145","larger_later",""
"","1031","89","5044","0","","poldrack-single-stim","126","629501","0.0-126.0","discount_fixed","624643,625322,626002,626682,627363,628042,628722,629402","<div class = dd-stim><div class = amtbox style = ""color:white"">$36</div><br><br><div class = delbox style = ""color:white"">114 days</div></div>","89,71","4000","","20","36","114","larger_later",""
"","690","89","5180","0","","poldrack-single-stim","127","634685","0.0-127.0","discount_fixed","630083,630762,631443,632122,632803,633482,634162","<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">55 days</div></div>","89,71","4000","","20","58","55","larger_later",""
"","989","89","4976","0","","poldrack-single-stim","128","639666","0.0-128.0","discount_fixed","634841,635522,636201,636882,637561,638242,638922,639602","<div class = dd-stim><div class = amtbox style = ""color:white"">$81</div><br><br><div class = delbox style = ""color:white"">58 days</div></div>","89,71","4000","","20","81","58","larger_later",""
"","733","89","4772","0","","poldrack-single-stim","129","644440","0.0-129.0","discount_fixed","640282,640962,641642,642322,643002,643682,644362","<div class = dd-stim><div class = amtbox style = ""color:white"">$32</div><br><br><div class = delbox style = ""color:white"">111 days</div></div>","89,71","4000","","20","32","111","larger_later",""
"","823","89","4772","0","","poldrack-single-stim","130","649215","0.0-130.0","discount_fixed","645042,645722,646402,647082,647762,648442,649122","<div class = dd-stim><div class = amtbox style = ""color:white"">$25</div><br><br><div class = delbox style = ""color:white"">141 days</div></div>","89,71","4000","","20","25","141","larger_later",""
"","1003","89","5180","0","","poldrack-single-stim","131","654398","0.0-131.0","discount_fixed","649802,650482,651162,651842,652522,653204,653882","<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">23 days</div></div>","89,71","4000","","20","67","23","larger_later",""
"","599","89","5180","0","","poldrack-single-stim","132","659582","0.0-132.0","discount_fixed","654562,655242,655922,656602,657283,657962,658642,659322","<div class = dd-stim><div class = amtbox style = ""color:white"">$77</div><br><br><div class = delbox style = ""color:white"">161 days</div></div>","89,71","4000","","20","77","161","larger_later",""
"","496","89","5248","0","","poldrack-single-stim","133","664835","0.0-133.0","discount_fixed","660002,660681,661362,662041,662722,663402,664082,664761","<div class = dd-stim><div class = amtbox style = ""color:white"">$55</div><br><br><div class = delbox style = ""color:white"">163 days</div></div>","89,71","4000","","20","55","163","larger_later",""
"","399","89","4568","0","","poldrack-single-stim","134","669409","0.0-134.0","discount_fixed","665442,666122,666802,667482,668162,668844","<div class = dd-stim><div class = amtbox style = ""color:white"">$40</div><br><br><div class = delbox style = ""color:white"">159 days</div></div>","89,71","4000","","20","40","159","larger_later",""
"","983","89","4500","0","","poldrack-single-stim","135","673913","0.0-135.0","discount_fixed","669522,670202,670882,671562,672242,672922,673603","<div class = dd-stim><div class = amtbox style = ""color:white"">$76</div><br><br><div class = delbox style = ""color:white"">161 days</div></div>","89,71","4000","","20","76","161","larger_later",""
"","1038","89","4908","0","","poldrack-single-stim","136","678825","0.0-136.0","discount_fixed","674282,674962,675642,676323,677002,677682,678362","<div class = dd-stim><div class = amtbox style = ""color:white"">$48</div><br><br><div class = delbox style = ""color:white"">128 days</div></div>","89,71","4000","","20","48","128","larger_later",""
"","610","89","4568","0","","poldrack-single-stim","137","683396","0.0-137.0","discount_fixed","679042,679722,680402,681082,681763,682442,683122","<div class = dd-stim><div class = amtbox style = ""color:white"">$39</div><br><br><div class = delbox style = ""color:white"">95 days</div></div>","89,71","4000","","20","39","95","larger_later",""
"","376","89","6200","0","","poldrack-single-stim","138","689598","0.0-138.0","discount_fixed","683802,684482,685162,685843,686521,687201,687882,688561,689242","<div class = dd-stim><div class = amtbox style = ""color:white"">$83</div><br><br><div class = delbox style = ""color:white"">105 days</div></div>","89,71","4000","","20","83","105","larger_later",""
