"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage"
"","574","71","2000","0","stim","poldrack-single-stim","88","204441","0.0-25.0-46.0","stroop","202743,203423,204103","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","46","test"
"","429","71","2000","0","stim","poldrack-single-stim","89","206443","0.0-25.0-47.0","stroop","204783,205463,206143","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","47","test"
"","388","71","2000","0","stim","poldrack-single-stim","90","208449","0.0-25.0-48.0","stroop","206823,207503,208183","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","48","test"
"","560","82","2544","0","stim","poldrack-single-stim","91","210996","0.0-25.0-49.0","stroop","208863,209543,210222,210902","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","49","test"
"","487","82","2136","0","stim","poldrack-single-stim","92","213134","0.0-25.0-50.0","stroop","211582,212263,212942","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","50","test"
"","552","89","2000","0","stim","poldrack-single-stim","93","215140","0.0-25.0-51.0","stroop","213622,214303,214982","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","51","test"
"","662","82","2000","0","stim","poldrack-single-stim","94","217145","0.0-25.0-52.0","stroop","215663,216342,217022","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","52","test"
"","525","89","2272","0","stim","poldrack-single-stim","95","219423","0.0-25.0-53.0","stroop","217702,218383,219062","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","53","test"
"","700","82","2000","0","stim","poldrack-single-stim","96","221428","0.0-25.0-54.0","stroop","219743,220422,221103","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","54","test"
"","511","82","2000","0","stim","poldrack-single-stim","97","223433","0.0-25.0-55.0","stroop","221782,222464,223142","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","55","test"
"","574","71","2136","0","stim","poldrack-single-stim","98","225572","0.0-25.0-56.0","stroop","223823,224502,225183","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","56","test"
"","506","89","2000","0","stim","poldrack-single-stim","99","227577","0.0-25.0-57.0","stroop","225862,226543,227222","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","57","test"
"","805","82","2272","0","stim","poldrack-single-stim","100","229855","0.0-25.0-58.0","stroop","227903,228582,229263","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","58","test"
"","595","71","2136","0","stim","poldrack-single-stim","101","231994","0.0-25.0-59.0","stroop","229943,230623,231303,231983","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","59","test"
"","875","82","2408","0","stim","poldrack-single-stim","102","234404","0.0-25.0-60.0","stroop","232664,233343,234023","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","60","test"
"","538","82","2000","0","stim","poldrack-single-stim","103","236410","0.0-25.0-61.0","stroop","234703,235382,236062","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","61","test"
"","690","89","2000","0","stim","poldrack-single-stim","104","238415","0.0-25.0-62.0","stroop","236742,237422,238102","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","false","71","","congruent","blue","blue","62","test"
"","663","89","2816","0","stim","poldrack-single-stim","105","241237","0.0-25.0-63.0","stroop","238782,239462,240142,240822","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","63","test"
"","703","89","2000","0","stim","poldrack-single-stim","106","243242","0.0-25.0-64.0","stroop","241502,242182,242864","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","64","test"
"","735","71","2000","0","stim","poldrack-single-stim","107","245248","0.0-25.0-65.0","stroop","243542,244222,244902","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","65","test"
"","423","71","2136","0","stim","poldrack-single-stim","108","247389","0.0-25.0-66.0","stroop","245582,246262,246942","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","66","test"
"","537","89","2000","0","stim","poldrack-single-stim","109","249390","0.0-25.0-67.0","stroop","247622,248302,248982","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","67","test"
"","767","71","2000","0","stim","poldrack-single-stim","110","251392","0.0-25.0-68.0","stroop","249662,250342,251022","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","68","test"
"","726","82","2000","0","stim","poldrack-single-stim","111","253397","0.0-25.0-69.0","stroop","251702,252383,253063","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","69","test"
"","492","82","2000","0","stim","poldrack-single-stim","112","255403","0.0-25.0-70.0","stroop","253743,254422,255103","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","70","test"
"","509","89","2000","0","stim","poldrack-single-stim","113","257408","0.0-25.0-71.0","stroop","255782,256462,257142","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","71","test"
"","665","82","2000","0","stim","poldrack-single-stim","114","259411","0.0-25.0-72.0","stroop","257823,258502,259182","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","72","test"
"","994","71","2000","0","stim","poldrack-single-stim","115","261413","0.0-25.0-73.0","stroop","259862,260543,261222","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","73","test"
"","524","89","2272","0","stim","poldrack-single-stim","116","263691","0.0-25.0-74.0","stroop","261902,262582,263263","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","74","test"
"","566","71","2000","0","stim","poldrack-single-stim","117","265696","0.0-25.0-75.0","stroop","263942,264622,265302","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","75","test"
"","521","89","2136","0","stim","poldrack-single-stim","118","267835","0.0-25.0-76.0","stroop","265982,266662,267342","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","76","test"
"","577","71","2000","0","stim","poldrack-single-stim","119","269840","0.0-25.0-77.0","stroop","268023,268702,269382","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","77","test"
"","525","89","2136","0","stim","poldrack-single-stim","120","271979","0.0-25.0-78.0","stroop","270062,270743,271422","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","78","test"
"","504","71","2000","0","stim","poldrack-single-stim","121","273985","0.0-25.0-79.0","stroop","272103,272782,273463","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","79","test"
"","459","89","2000","0","stim","poldrack-single-stim","122","275990","0.0-25.0-80.0","stroop","274142,274823,275502","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","80","test"
"","660","89","2000","0","stim","poldrack-single-stim","123","277995","0.0-25.0-81.0","stroop","276183,276862,277543","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","81","test"
"","526","89","2272","0","stim","poldrack-single-stim","124","280269","0.0-25.0-82.0","stroop","278222,278903,279582,280263","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","82","test"
"","884","82","2000","0","stim","poldrack-single-stim","125","282273","0.0-25.0-83.0","stroop","280942,281623","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","83","test"
"","515","89","2136","0","stim","poldrack-single-stim","126","284412","0.0-25.0-84.0","stroop","282302,282983,283663,284343","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","84","test"
"","529","89","2408","0","stim","poldrack-single-stim","127","286822","0.0-25.0-85.0","stroop","285022,285703,286383","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","85","test"
"","987","71","2272","0","stim","poldrack-single-stim","128","289100","0.0-25.0-86.0","stroop","287063,287742,288422","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","86","test"
"","393","71","2680","0","stim","poldrack-single-stim","129","291783","0.0-25.0-87.0","stroop","289102,289782,290462,291142","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","87","test"
"","554","82","2000","0","stim","poldrack-single-stim","130","293788","0.0-25.0-88.0","stroop","291822,292502,293182","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","88","test"
"","533","82","2408","0","stim","poldrack-single-stim","131","296200","0.0-25.0-89.0","stroop","293863,294542,295222,295902","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","89","test"
"","632","71","2136","0","stim","poldrack-single-stim","132","298338","0.0-25.0-90.0","stroop","296583,297262,297942","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","90","test"
"","616","71","2680","0","stim","poldrack-single-stim","133","301020","0.0-25.0-91.0","stroop","298622,299302,299982,300663","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","91","test"
"","414","71","2000","0","stim","poldrack-single-stim","134","303026","0.0-25.0-92.0","stroop","301342,302022,302702","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","92","test"
"","748","89","2136","0","stim","poldrack-single-stim","135","305164","0.0-25.0-93.0","stroop","303382,304063,304742","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","93","test"
"","524","82","2952","0","stim","poldrack-single-stim","136","308119","0.0-25.0-94.0","stroop","305422,306102,306782,307462","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","94","test"
"","528","82","2000","0","stim","poldrack-single-stim","137","310125","0.0-25.0-95.0","stroop","308143,308823,309502","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","","incongruent","green","red","95","test"
"","31413","32","31413","0","end","poldrack-single-stim","138","341538","0.0-26.0","stroop","310183,310863,311543,312223,312903,313582,314263,314942,315622,316302,316982,317662,318342,319022,319702,320382,321063,321742,322422,323102,323782,324463,325142,325822,326502,327182,327863,328542,329222,329902,330582,331262","<div class = centerbox><div class = center-text><i>Fin</i></div></div>","32","31413","","","","","","","",""
