,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
223,PA_without_intermediate,,"3,0,0,0,0,0,1,0,0",practice,ward_and_allport,"3,2,0,1,0,0,0,0,0",82,3.0,2.0,"89,82",21.0,,1674,"0,0,0,0,0,0,1,2,3",,285627,to_hand,poldrack-single-stim,s061
224,PA_without_intermediate,,"3,2,0,0,0,0,1,0,0",practice,ward_and_allport,"3,2,0,1,0,0,0,0,0",89,3.0,2.0,"89,71,82",21.0,,941,"0,0,0,0,0,0,1,2,3",,286570,to_board,poldrack-single-stim,s061
225,PA_without_intermediate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,0,1,0,0,0,0,0",82,3.0,3.0,"89,82",21.0,,1197,"0,0,0,0,0,0,1,2,3",,287784,to_hand,poldrack-single-stim,s061
226,PA_without_intermediate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,1,0,0,0,0,0",71,3.0,3.0,"89,71,82",21.0,,308,"0,0,0,0,0,0,1,2,3",,288094,to_board,poldrack-single-stim,s061
227,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,11973.0,-1,,,293376,feedback,poldrack-single-stim,s061
228,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",82,3.0,1.0,82,22.0,,2930,"0,0,0,0,0,0,1,2,3",,296323,to_hand,poldrack-single-stim,s061
229,PA_with_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,1.0,"89,71,82",22.0,,862,"0,0,0,0,0,0,1,2,3",,297188,to_board,poldrack-single-stim,s061
230,PA_with_intermediate,,"3,0,0,0,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",82,3.0,2.0,"89,82",22.0,,452,"0,0,0,0,0,0,1,2,3",,297655,to_hand,poldrack-single-stim,s061
231,PA_with_intermediate,,"3,0,0,2,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",71,3.0,2.0,"89,71,82",22.0,,697,"0,0,0,0,0,0,1,2,3",,298354,to_board,poldrack-single-stim,s061
232,PA_with_intermediate,,"0,0,0,2,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,3.0,"89,71,82",22.0,,456,"0,0,0,0,0,0,1,2,3",,298825,to_hand,poldrack-single-stim,s061
233,PA_with_intermediate,,"0,0,0,2,0,0,1,3,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",82,3.0,3.0,"89,71,82",22.0,,343,"0,0,0,0,0,0,1,2,3",,299170,to_board,poldrack-single-stim,s061
234,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,9852.0,-1,,,303228,feedback,poldrack-single-stim,s061
235,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,1.0,89,23.0,,3213,"1,2,3,0,0,0,0,0,0",,306457,to_hand,poldrack-single-stim,s061
236,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",71,3.0,1.0,"89,71,82",23.0,,391,"1,2,3,0,0,0,0,0,0",,306850,to_board,poldrack-single-stim,s061
237,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,2.0,"89,71",23.0,,407,"1,2,3,0,0,0,0,0,0",,307272,to_hand,poldrack-single-stim,s061
238,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",82,3.0,2.0,"89,71,82",23.0,,425,"1,2,3,0,0,0,0,0,0",,307698,to_board,poldrack-single-stim,s061
239,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",71,3.0,3.0,"89,71,82",23.0,,403,"1,2,3,0,0,0,0,0,0",,308119,to_hand,poldrack-single-stim,s061
240,PA_with_intermediate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,3.0,"89,71,82",23.0,,251,"1,2,3,0,0,0,0,0,0",,308371,to_board,poldrack-single-stim,s061
241,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,7296.0,-1,,,310524,feedback,poldrack-single-stim,s061
242,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,1.0,89,24.0,,2435,"1,2,3,0,0,0,0,0,0",,312976,to_hand,poldrack-single-stim,s061
243,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,1.0,"89,71,82",24.0,,446,"1,2,3,0,0,0,0,0,0",,313425,to_board,poldrack-single-stim,s061
244,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,2.0,"89,71",24.0,,359,"1,2,3,0,0,0,0,0,0",,313801,to_hand,poldrack-single-stim,s061
245,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,2.0,"89,71,82",24.0,,449,"1,2,3,0,0,0,0,0,0",,314252,to_board,poldrack-single-stim,s061
246,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,3.0,"89,71,82",24.0,,663,"1,2,3,0,0,0,0,0,0",,314934,to_hand,poldrack-single-stim,s061
247,PA_with_intermediate,,"1,0,0,0,0,0,2,3,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,3.0,"89,71,82",24.0,,346,"1,2,3,0,0,0,0,0,0",,315281,to_board,poldrack-single-stim,s061
248,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,7188.0,-1,,,317712,feedback,poldrack-single-stim,s061
249,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,1.0,89,25.0,,2216,"1,2,3,0,0,0,0,0,0",,319948,to_hand,poldrack-single-stim,s061
250,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,1.0,"89,71,82",25.0,,375,"1,2,3,0,0,0,0,0,0",,320324,to_board,poldrack-single-stim,s061
251,PA_without_intermediate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,2.0,"89,82",25.0,,376,"1,2,3,0,0,0,0,0,0",,320718,to_hand,poldrack-single-stim,s061
252,PA_without_intermediate,,"1,0,0,0,0,0,3,2,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,2.0,"89,71,82",25.0,,419,"1,2,3,0,0,0,0,0,0",,321138,to_board,poldrack-single-stim,s061
253,PA_without_intermediate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,3.0,"89,82",25.0,,689,"1,2,3,0,0,0,0,0,0",,321843,to_hand,poldrack-single-stim,s061
254,PA_without_intermediate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",71,3.0,3.0,"89,71,82",25.0,,300,"1,2,3,0,0,0,0,0,0",,322145,to_board,poldrack-single-stim,s061
255,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,7131.0,-1,,,324843,feedback,poldrack-single-stim,s061
256,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,1.0,71,26.0,,3244,"0,0,0,1,2,3,0,0,0",,328105,to_hand,poldrack-single-stim,s061
257,PA_with_intermediate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",82,3.0,1.0,"89,71,82",26.0,,363,"0,0,0,1,2,3,0,0,0",,328470,to_board,poldrack-single-stim,s061
258,PA_with_intermediate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,2.0,"71,82",26.0,,312,"0,0,0,1,2,3,0,0,0",,328800,to_hand,poldrack-single-stim,s061
259,PA_with_intermediate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",89,3.0,2.0,"89,71,82",26.0,,319,"0,0,0,1,2,3,0,0,0",,329122,to_board,poldrack-single-stim,s061
260,PA_with_intermediate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",82,3.0,3.0,"89,71,82",26.0,,1052,"0,0,0,1,2,3,0,0,0",,330194,to_hand,poldrack-single-stim,s061
261,PA_with_intermediate,,"2,0,0,1,3,0,0,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,3.0,"89,71,82",26.0,,340,"0,0,0,1,2,3,0,0,0",,330536,to_board,poldrack-single-stim,s061
262,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10431.0,-1,,,335274,feedback,poldrack-single-stim,s061
263,PA_without_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",82,3.0,1.0,82,27.0,,3162,"0,0,0,0,0,0,1,2,3",,338453,to_hand,poldrack-single-stim,s061
264,PA_without_intermediate,,"0,0,0,3,0,0,1,2,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",71,3.0,1.0,"89,71,82",27.0,,570,"0,0,0,0,0,0,1,2,3",,339026,to_board,poldrack-single-stim,s061
265,PA_without_intermediate,,"0,0,0,3,0,0,1,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",82,3.0,2.0,"71,82",27.0,,415,"0,0,0,0,0,0,1,2,3",,339460,to_hand,poldrack-single-stim,s061
266,PA_without_intermediate,,"0,0,0,3,2,0,1,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",71,3.0,2.0,"89,71,82",27.0,,623,"0,0,0,0,0,0,1,2,3",,340085,to_board,poldrack-single-stim,s061
267,PA_without_intermediate,,"0,0,0,3,2,0,0,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",82,3.0,3.0,"71,82",27.0,,323,"0,0,0,0,0,0,1,2,3",,340429,to_hand,poldrack-single-stim,s061
268,PA_without_intermediate,,"1,0,0,3,2,0,0,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",89,3.0,3.0,"89,71,82",27.0,,261,"0,0,0,0,0,0,1,2,3",,340692,to_board,poldrack-single-stim,s061
269,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8663.0,-1,,,343938,feedback,poldrack-single-stim,s061
270,PA_without_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,1.0,71,28.0,,1901,"0,0,0,1,2,3,0,0,0",,345859,to_hand,poldrack-single-stim,s061
271,PA_without_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",89,3.0,1.0,"89,71,82",28.0,,439,"0,0,0,1,2,3,0,0,0",,346300,to_board,poldrack-single-stim,s061
272,PA_without_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,2.0,"89,71",28.0,,429,"0,0,0,1,2,3,0,0,0",,346748,to_hand,poldrack-single-stim,s061
273,PA_without_intermediate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",89,3.0,2.0,"89,71,82",28.0,,354,"0,0,0,1,2,3,0,0,0",,347105,to_board,poldrack-single-stim,s061
274,PA_without_intermediate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,3.0,"89,71",28.0,,324,"0,0,0,1,2,3,0,0,0",,347448,to_hand,poldrack-single-stim,s061
275,PA_without_intermediate,,"3,2,0,0,0,0,1,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",82,3.0,3.0,"89,71,82",28.0,,268,"0,0,0,1,2,3,0,0,0",,347718,to_board,poldrack-single-stim,s061
276,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,6074.0,-1,,,350011,feedback,poldrack-single-stim,s061
277,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,1.0,71,29.0,,2191,"0,0,0,1,2,3,0,0,0",,352225,to_hand,poldrack-single-stim,s061
278,PA_with_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",89,3.0,1.0,"89,71,82",29.0,,394,"0,0,0,1,2,3,0,0,0",,352621,to_board,poldrack-single-stim,s061
279,PA_with_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,2.0,"89,71",29.0,,470,"0,0,0,1,2,3,0,0,0",,353115,to_hand,poldrack-single-stim,s061
