,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
360,2100.272,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",594,1700.0,,274418,stim,99.0,poldrack-single-stim,s471
363,2100.0,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",399,1700.0,,277028,stim,100.0,poldrack-single-stim,s471
366,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",486,1700.0,,279637,stim,101.0,poldrack-single-stim,s471
369,2100.272,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",630,1700.0,,282247,stim,102.0,poldrack-single-stim,s471
372,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",399,1700.0,,284857,stim,103.0,poldrack-single-stim,s471
375,2100.0,0.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,71,"89,71",514,1700.0,,287466,stim,104.0,poldrack-single-stim,s471
378,2100.272,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",572,1700.0,,290075,stim,105.0,poldrack-single-stim,s471
381,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",568,1700.0,,292686,stim,106.0,poldrack-single-stim,s471
384,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",584,1700.0,,295295,stim,107.0,poldrack-single-stim,s471
387,2100.272,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",517,1700.0,,297904,stim,108.0,poldrack-single-stim,s471
390,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",470,1700.0,,300513,stim,109.0,poldrack-single-stim,s471
393,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",539,1700.0,,303123,stim,110.0,poldrack-single-stim,s471
396,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",474,1700.0,,305733,stim,111.0,poldrack-single-stim,s471
399,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",564,1700.0,,308342,stim,112.0,poldrack-single-stim,s471
402,2100.0,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",560,1700.0,,310951,stim,113.0,poldrack-single-stim,s471
405,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",363,1700.0,,313560,stim,114.0,poldrack-single-stim,s471
408,2100.272,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",441,1700.0,,316168,stim,115.0,poldrack-single-stim,s471
411,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",631,1700.0,,318778,stim,116.0,poldrack-single-stim,s471
414,2101.0879999999997,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",460,1700.0,,321388,stim,117.0,poldrack-single-stim,s471
417,2100.272,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",447,1700.0,,323997,stim,118.0,poldrack-single-stim,s471
420,2100.136,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",507,1700.0,,326605,stim,119.0,poldrack-single-stim,s471
423,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",738,1700.0,,329216,stim,120.0,poldrack-single-stim,s471
426,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",559,1700.0,,331826,stim,121.0,poldrack-single-stim,s471
429,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",616,1700.0,,334435,stim,122.0,poldrack-single-stim,s471
432,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",516,1700.0,,337043,stim,123.0,poldrack-single-stim,s471
435,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",630,1700.0,,339652,stim,124.0,poldrack-single-stim,s471
438,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",505,1700.0,,342261,stim,125.0,poldrack-single-stim,s471
441,2100.272,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",569,1700.0,,344869,stim,126.0,poldrack-single-stim,s471
444,2100.136,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",515,1700.0,,347478,stim,127.0,poldrack-single-stim,s471
