,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
74,566.0,UA_without_intermeidate,,"3,1,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,9.0,"89,82",2.0,,566,"0,0,0,1,2,0,3,0,0",566.0,,78973,to_hand,poldrack-single-stim,s548
75,290.0,UA_without_intermeidate,,"3,1,2,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,9.0,"89,71,82",2.0,,290,"0,0,0,1,2,0,3,0,0",290.0,,79265,to_board,poldrack-single-stim,s548
76,4448.0,UA_without_intermeidate,,"3,1,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,10.0,89,2.0,,4448,"0,0,0,1,2,0,3,0,0",4448.0,,83715,to_hand,poldrack-single-stim,s548
77,817.0,UA_without_intermeidate,,"3,1,0,0,0,0,2,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,10.0,"89,71,82",2.0,,817,"0,0,0,1,2,0,3,0,0",817.0,,84533,to_board,poldrack-single-stim,s548
78,1902.0,UA_without_intermeidate,,"3,0,0,0,0,0,2,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,11.0,"89,82",2.0,,1902,"0,0,0,1,2,0,3,0,0",1902.0,,86438,to_hand,poldrack-single-stim,s548
79,1250.0,UA_without_intermeidate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,11.0,"89,71,82",2.0,,1250,"0,0,0,1,2,0,3,0,0",1250.0,,87688,to_board,poldrack-single-stim,s548
80,1539.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,12.0,"89,71,82",2.0,,1539,"0,0,0,1,2,0,3,0,0",1539.0,,89229,to_hand,poldrack-single-stim,s548
81,348.0,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,12.0,"89,71,82",2.0,,348,"0,0,0,1,2,0,3,0,0",348.0,,89579,to_board,poldrack-single-stim,s548
82,976.0,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,13.0,"89,71",2.0,,976,"0,0,0,1,2,0,3,0,0",976.0,,90558,to_hand,poldrack-single-stim,s548
83,189.0,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,13.0,"89,71,82",2.0,,189,"0,0,0,1,2,0,3,0,0",189.0,,90748,to_board,poldrack-single-stim,s548
