,correct,correct_response,cue,exp_stage,experiment_exp_id,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
251,,,,,attention_network_task,,,,-1,none,-1,,177494,rest_block,,poldrack-single-stim,s471
255,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",629,,183110,stim,64.0,poldrack-single-stim,s471
258,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",563,,185719,stim,65.0,poldrack-single-stim,s471
261,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",616,,188327,stim,66.0,poldrack-single-stim,s471
264,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",446,,190935,stim,67.0,poldrack-single-stim,s471
267,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",522,,193544,stim,68.0,poldrack-single-stim,s471
270,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",491,,196153,stim,69.0,poldrack-single-stim,s471
273,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",498,,198762,stim,70.0,poldrack-single-stim,s471
276,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",361,,201371,stim,71.0,poldrack-single-stim,s471
279,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",279,,203980,stim,72.0,poldrack-single-stim,s471
282,1.0,89.0,double,test,attention_network_task,down,left,incongruent,89,"89,71",658,,206588,stim,73.0,poldrack-single-stim,s471
285,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",454,,209198,stim,74.0,poldrack-single-stim,s471
288,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",565,,211807,stim,75.0,poldrack-single-stim,s471
291,0.0,89.0,spatial,test,attention_network_task,up,left,congruent,71,"89,71",391,,214415,stim,76.0,poldrack-single-stim,s471
294,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",653,,217023,stim,77.0,poldrack-single-stim,s471
297,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",571,,219634,stim,78.0,poldrack-single-stim,s471
300,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",533,,222243,stim,79.0,poldrack-single-stim,s471
303,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",453,,224852,stim,80.0,poldrack-single-stim,s471
306,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",448,,227461,stim,81.0,poldrack-single-stim,s471
309,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",565,,230070,stim,82.0,poldrack-single-stim,s471
312,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",409,,232679,stim,83.0,poldrack-single-stim,s471
315,0.0,71.0,spatial,test,attention_network_task,up,right,incongruent,89,"89,71",430,,235288,stim,84.0,poldrack-single-stim,s471
318,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",1059,,237896,stim,85.0,poldrack-single-stim,s471
321,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",571,,240505,stim,86.0,poldrack-single-stim,s471
324,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",450,,243114,stim,87.0,poldrack-single-stim,s471
327,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",452,,245722,stim,88.0,poldrack-single-stim,s471
330,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",650,,248330,stim,89.0,poldrack-single-stim,s471
333,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",574,,250938,stim,90.0,poldrack-single-stim,s471
336,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",606,,253547,stim,91.0,poldrack-single-stim,s471
339,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",583,,256158,stim,92.0,poldrack-single-stim,s471
342,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",686,,258767,stim,93.0,poldrack-single-stim,s471
345,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",609,,261376,stim,94.0,poldrack-single-stim,s471
348,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",528,,263984,stim,95.0,poldrack-single-stim,s471
351,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",456,,266593,stim,96.0,poldrack-single-stim,s471
354,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",635,,269203,stim,97.0,poldrack-single-stim,s471
357,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",580,,271811,stim,98.0,poldrack-single-stim,s471
360,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",594,,274418,stim,99.0,poldrack-single-stim,s471
363,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",399,,277028,stim,100.0,poldrack-single-stim,s471
366,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",486,,279637,stim,101.0,poldrack-single-stim,s471
369,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",630,,282247,stim,102.0,poldrack-single-stim,s471
372,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",399,,284857,stim,103.0,poldrack-single-stim,s471
375,0.0,89.0,spatial,test,attention_network_task,down,left,incongruent,71,"89,71",514,,287466,stim,104.0,poldrack-single-stim,s471
378,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",572,,290075,stim,105.0,poldrack-single-stim,s471
381,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",568,,292686,stim,106.0,poldrack-single-stim,s471
384,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",584,,295295,stim,107.0,poldrack-single-stim,s471
387,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",517,,297904,stim,108.0,poldrack-single-stim,s471
390,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",470,,300513,stim,109.0,poldrack-single-stim,s471
393,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",539,,303123,stim,110.0,poldrack-single-stim,s471
396,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",474,,305733,stim,111.0,poldrack-single-stim,s471
399,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",564,,308342,stim,112.0,poldrack-single-stim,s471
402,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",560,,310951,stim,113.0,poldrack-single-stim,s471
405,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",363,,313560,stim,114.0,poldrack-single-stim,s471
408,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",441,,316168,stim,115.0,poldrack-single-stim,s471
411,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",631,,318778,stim,116.0,poldrack-single-stim,s471
414,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",460,,321388,stim,117.0,poldrack-single-stim,s471
417,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",447,,323997,stim,118.0,poldrack-single-stim,s471
420,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",507,,326605,stim,119.0,poldrack-single-stim,s471
423,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",738,,329216,stim,120.0,poldrack-single-stim,s471
426,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",559,,331826,stim,121.0,poldrack-single-stim,s471
429,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",616,,334435,stim,122.0,poldrack-single-stim,s471
432,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",516,,337043,stim,123.0,poldrack-single-stim,s471
435,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",630,,339652,stim,124.0,poldrack-single-stim,s471
438,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",505,,342261,stim,125.0,poldrack-single-stim,s471
441,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",569,,344869,stim,126.0,poldrack-single-stim,s471
444,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",515,,347478,stim,127.0,poldrack-single-stim,s471
