,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
72,PA_without_intermediate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",71,3.0,2.0,"89,71,82",2.0,,450,"1,2,3,0,0,0,0,0,0",,61687,to_board,poldrack-single-stim,s445
73,PA_without_intermediate,,"0,0,0,2,0,0,3,0,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",89,3.0,3.0,"89,71,82",2.0,,707,"1,2,3,0,0,0,0,0,0",,62396,to_hand,poldrack-single-stim,s445
74,PA_without_intermediate,,"0,0,0,2,0,0,3,1,0",practice,ward_and_allport,"0,0,0,2,0,0,3,1,0",82,3.0,3.0,"89,71,82",2.0,,365,"1,2,3,0,0,0,0,0,0",,62762,to_board,poldrack-single-stim,s445
75,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8726.0,-1,,,64766,feedback,poldrack-single-stim,s445
76,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,1.0,89,3.0,,2012,"1,2,3,0,0,0,0,0,0",,66781,to_hand,poldrack-single-stim,s445
77,PA_without_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",71,3.0,1.0,"89,71,82",3.0,,326,"1,2,3,0,0,0,0,0,0",,67108,to_board,poldrack-single-stim,s445
78,PA_without_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,2.0,"89,71",3.0,,723,"1,2,3,0,0,0,0,0,0",,67833,to_hand,poldrack-single-stim,s445
79,PA_without_intermediate,,"1,0,0,3,2,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",71,3.0,2.0,"89,71,82",3.0,,387,"1,2,3,0,0,0,0,0,0",,68222,to_board,poldrack-single-stim,s445
80,PA_without_intermediate,,"0,0,0,3,2,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,3.0,"89,71",3.0,,847,"1,2,3,0,0,0,0,0,0",,69071,to_hand,poldrack-single-stim,s445
81,PA_without_intermediate,,"0,0,0,3,2,0,1,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",82,3.0,3.0,"89,71,82",3.0,,339,"1,2,3,0,0,0,0,0,0",,69410,to_board,poldrack-single-stim,s445
82,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,6647.0,-1,,,71413,feedback,poldrack-single-stim,s445
83,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,3,0,1,0,0",82,3.0,1.0,82,4.0,,3619,"0,0,0,0,0,0,1,2,3",,75035,to_hand,poldrack-single-stim,s445
