,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
58,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,612,"0,0,0,1,2,0,3,0,0",,44088,to_board,poldrack-single-stim,499
59,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,703,"0,0,0,1,2,0,3,0,0",,44796,to_hand,poldrack-single-stim,499
60,UA_without_intermeidate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,1123,"0,0,0,1,2,0,3,0,0",,45922,to_board,poldrack-single-stim,499
61,UA_without_intermeidate,,"2,3,0,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",3.0,,487,"0,0,0,1,2,0,3,0,0",,46413,to_hand,poldrack-single-stim,499
62,UA_without_intermeidate,,"2,3,1,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",3.0,,456,"0,0,0,1,2,0,3,0,0",,46872,to_board,poldrack-single-stim,499
63,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,7714.0,-1,,,48878,feedback,poldrack-single-stim,499
64,,,,,ward_and_allport,,-1,,,none,,,-1,,,50386,test_start_block,poldrack-single-stim,499
65,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,1.0,89,0.0,,4421,"1,2,3,0,0,0,0,0,0",,55312,to_hand,poldrack-single-stim,499
66,PA_without_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",71,3.0,1.0,"89,71,82",0.0,,577,"1,2,3,0,0,0,0,0,0",,55892,to_board,poldrack-single-stim,499
67,PA_without_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,2.0,"89,71",0.0,,1147,"1,2,3,0,0,0,0,0,0",,57045,to_hand,poldrack-single-stim,499
68,PA_without_intermediate,,"1,0,0,3,2,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",71,3.0,2.0,"89,71,82",0.0,,425,"1,2,3,0,0,0,0,0,0",,57472,to_board,poldrack-single-stim,499
69,PA_without_intermediate,,"0,0,0,3,2,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,3.0,"89,71",0.0,,1223,"1,2,3,0,0,0,0,0,0",,58701,to_hand,poldrack-single-stim,499
