,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
112,4704.0,smaller_sooner,,discount_fixed,71,69.0,172.0,"89,71",604,20.0,4000.0,,452249,,poldrack-single-stim,s556
113,5180.0,smaller_sooner,,discount_fixed,71,66.0,71.0,"89,71",1121,20.0,4000.0,,457433,,poldrack-single-stim,s556
114,5044.0,smaller_sooner,,discount_fixed,71,71.0,176.0,"89,71",624,20.0,4000.0,,462479,,poldrack-single-stim,s556
115,5316.0,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",1126,20.0,4000.0,,467801,,poldrack-single-stim,s556
116,4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",2393,20.0,4000.0,,472372,,poldrack-single-stim,s556
117,4636.0,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1330,20.0,4000.0,,477012,,poldrack-single-stim,s556
118,4908.0,smaller_sooner,,discount_fixed,71,27.0,142.0,"89,71",2109,20.0,4000.0,,481925,,poldrack-single-stim,s556
119,4500.0,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",966,20.0,4000.0,,486426,,poldrack-single-stim,s556
120,4976.0,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",1359,20.0,4000.0,,491404,,poldrack-single-stim,s556
121,4908.0,smaller_sooner,,discount_fixed,71,41.0,27.0,"89,71",2291,20.0,4000.0,,496313,,poldrack-single-stim,s556
122,4568.0,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",2626,20.0,4000.0,,500885,,poldrack-single-stim,s556
123,4500.0,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",700,20.0,4000.0,,505387,,poldrack-single-stim,s556
124,6200.0,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",1542,20.0,4000.0,,511589,,poldrack-single-stim,s556
125,4704.0,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",2180,20.0,4000.0,,516297,,poldrack-single-stim,s556
126,5044.0,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",1651,20.0,4000.0,,521345,,poldrack-single-stim,s556
127,5044.0,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",2029,20.0,4000.0,,526390,,poldrack-single-stim,s556
128,5180.0,smaller_sooner,,discount_fixed,71,58.0,55.0,"89,71",2032,20.0,4000.0,,531574,,poldrack-single-stim,s556
129,4976.0,smaller_sooner,,discount_fixed,71,81.0,58.0,"89,71",2045,20.0,4000.0,,536555,,poldrack-single-stim,s556
130,4772.0,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",2178,20.0,4000.0,,541329,,poldrack-single-stim,s556
131,4772.0,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",924,20.0,4000.0,,546108,,poldrack-single-stim,s556
132,5180.0,larger_later,,discount_fixed,89,67.0,23.0,"89,71",1427,20.0,4000.0,,551291,,poldrack-single-stim,s556
133,5180.0,smaller_sooner,,discount_fixed,71,77.0,161.0,"89,71",1787,20.0,4000.0,,556476,,poldrack-single-stim,s556
134,5248.0,smaller_sooner,,discount_fixed,71,55.0,163.0,"89,71",1952,20.0,4000.0,,561729,,poldrack-single-stim,s556
135,4568.0,smaller_sooner,,discount_fixed,71,40.0,159.0,"89,71",2589,20.0,4000.0,,566300,,poldrack-single-stim,s556
136,4500.0,smaller_sooner,,discount_fixed,71,76.0,161.0,"89,71",2816,20.0,4000.0,,570802,,poldrack-single-stim,s556
137,4908.0,smaller_sooner,,discount_fixed,71,48.0,128.0,"89,71",1808,20.0,4000.0,,575714,,poldrack-single-stim,s556
138,4568.0,smaller_sooner,,discount_fixed,71,39.0,95.0,"89,71",2595,20.0,4000.0,,580287,,poldrack-single-stim,s556
139,6200.0,smaller_sooner,,discount_fixed,71,83.0,105.0,"89,71",2372,20.0,4000.0,,586488,,poldrack-single-stim,s556
140,4908.0,larger_later,,discount_fixed,89,67.0,41.0,"89,71",1834,20.0,4000.0,,591399,,poldrack-single-stim,s556
141,5248.0,smaller_sooner,,discount_fixed,71,56.0,172.0,"89,71",977,20.0,4000.0,,596652,,poldrack-single-stim,s556
142,5044.0,smaller_sooner,,discount_fixed,71,28.0,123.0,"89,71",1064,20.0,4000.0,,601699,,poldrack-single-stim,s556
143,4636.0,smaller_sooner,,discount_fixed,71,50.0,129.0,"89,71",1382,20.0,4000.0,,606339,,poldrack-single-stim,s556
144,4704.0,smaller_sooner,,discount_fixed,71,23.0,61.0,"89,71",2097,20.0,4000.0,,611048,,poldrack-single-stim,s556
