,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
269,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",738,500.0,,306666,probe,27.0,poldrack-single-stim,s519
272,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",775,500.0,,310943,probe,28.0,poldrack-single-stim,s519
275,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",763,500.0,,315219,probe,29.0,poldrack-single-stim,s519
278,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",786,500.0,,319224,probe,30.0,poldrack-single-stim,s519
281,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",795,500.0,,324181,probe,31.0,poldrack-single-stim,s519
284,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",797,500.0,,328322,probe,32.0,poldrack-single-stim,s519
287,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",807,500.0,,332463,probe,33.0,poldrack-single-stim,s519
290,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",832,500.0,,336469,probe,34.0,poldrack-single-stim,s519
293,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",811,500.0,,340475,probe,35.0,poldrack-single-stim,s519
296,2316.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",783,500.0,,345296,probe,36.0,poldrack-single-stim,s519
299,2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",812,500.0,,349846,probe,37.0,poldrack-single-stim,s519
302,3948.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",853,500.0,,356299,probe,38.0,poldrack-single-stim,s519
305,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",752,500.0,,360440,probe,39.0,poldrack-single-stim,s519
306,7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,367942,rest_block,,poldrack-single-stim,s519
310,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",825,500.0,,375086,probe,0.0,poldrack-single-stim,s519
313,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",790,500.0,,379229,probe,1.0,poldrack-single-stim,s519
316,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",720,500.0,,383234,probe,2.0,poldrack-single-stim,s519
319,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",779,500.0,,387239,probe,3.0,poldrack-single-stim,s519
322,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",743,500.0,,391652,probe,4.0,poldrack-single-stim,s519
325,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",807,500.0,,395792,probe,5.0,poldrack-single-stim,s519
328,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",716,500.0,,400341,probe,6.0,poldrack-single-stim,s519
331,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",731,500.0,,404617,probe,7.0,poldrack-single-stim,s519
334,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",692,500.0,,408622,probe,8.0,poldrack-single-stim,s519
337,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",772,500.0,,413307,probe,9.0,poldrack-single-stim,s519
340,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",786,500.0,,417313,probe,10.0,poldrack-single-stim,s519
343,3676.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",721,500.0,,423494,probe,11.0,poldrack-single-stim,s519
346,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",830,500.0,,427635,probe,12.0,poldrack-single-stim,s519
349,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",752,500.0,,431775,probe,13.0,poldrack-single-stim,s519
352,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",844,500.0,,435780,probe,14.0,poldrack-single-stim,s519
355,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",684,500.0,,440192,probe,15.0,poldrack-single-stim,s519
358,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",743,500.0,,444332,probe,16.0,poldrack-single-stim,s519
361,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",835,500.0,,448337,probe,17.0,poldrack-single-stim,s519
364,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",756,500.0,,452751,probe,18.0,poldrack-single-stim,s519
367,2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",692,500.0,,457436,probe,19.0,poldrack-single-stim,s519
370,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",814,500.0,,461714,probe,20.0,poldrack-single-stim,s519
373,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",671,500.0,,465719,probe,21.0,poldrack-single-stim,s519
376,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",691,500.0,,469724,probe,22.0,poldrack-single-stim,s519
379,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",746,500.0,,474272,probe,23.0,poldrack-single-stim,s519
382,2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",784,500.0,,479638,probe,24.0,poldrack-single-stim,s519
385,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",811,500.0,,483642,probe,25.0,poldrack-single-stim,s519
388,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",804,500.0,,487919,probe,26.0,poldrack-single-stim,s519
391,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",774,500.0,,492197,probe,27.0,poldrack-single-stim,s519
394,2860.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",747,500.0,,497563,probe,28.0,poldrack-single-stim,s519
397,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",768,500.0,,501840,probe,29.0,poldrack-single-stim,s519
400,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",859,500.0,,505982,probe,30.0,poldrack-single-stim,s519
403,2452.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",747,500.0,,510938,probe,31.0,poldrack-single-stim,s519
406,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",784,500.0,,515079,probe,32.0,poldrack-single-stim,s519
409,1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",828,500.0,,519083,probe,33.0,poldrack-single-stim,s519
412,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",728,500.0,,523225,probe,34.0,poldrack-single-stim,s519
415,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",805,500.0,,527367,probe,35.0,poldrack-single-stim,s519
418,2180.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",782,500.0,,532053,probe,36.0,poldrack-single-stim,s519
421,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",735,500.0,,536058,probe,37.0,poldrack-single-stim,s519
424,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",896,500.0,,540199,probe,38.0,poldrack-single-stim,s519
427,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",790,500.0,,544339,probe,39.0,poldrack-single-stim,s519
428,7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,551841,rest_block,,poldrack-single-stim,s519
432,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",681,500.0,,559528,probe,0.0,poldrack-single-stim,s519
435,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",743,500.0,,564350,probe,1.0,poldrack-single-stim,s519
438,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",816,500.0,,568490,probe,2.0,poldrack-single-stim,s519
441,1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",787,500.0,,572903,probe,3.0,poldrack-single-stim,s519
444,3540.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",721,500.0,,578947,probe,4.0,poldrack-single-stim,s519
447,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",879,500.0,,583088,probe,5.0,poldrack-single-stim,s519
450,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",768,500.0,,587092,probe,6.0,poldrack-single-stim,s519
453,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",821,500.0,,591096,probe,7.0,poldrack-single-stim,s519
456,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",757,500.0,,595373,probe,8.0,poldrack-single-stim,s519
459,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",754,500.0,,600329,probe,9.0,poldrack-single-stim,s519
462,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",803,500.0,,604744,probe,10.0,poldrack-single-stim,s519
465,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",826,500.0,,608884,probe,11.0,poldrack-single-stim,s519
468,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",761,500.0,,612889,probe,12.0,poldrack-single-stim,s519
471,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",781,500.0,,617030,probe,13.0,poldrack-single-stim,s519
474,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",806,500.0,,621171,probe,14.0,poldrack-single-stim,s519
477,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",777,500.0,,626128,probe,15.0,poldrack-single-stim,s519
480,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",789,500.0,,630133,probe,16.0,poldrack-single-stim,s519
483,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1003,500.0,,634138,probe,17.0,poldrack-single-stim,s519
486,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",762,500.0,,638279,probe,18.0,poldrack-single-stim,s519
489,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",676,500.0,,642420,probe,19.0,poldrack-single-stim,s519
492,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",801,500.0,,646561,probe,20.0,poldrack-single-stim,s519
495,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",706,500.0,,650565,probe,21.0,poldrack-single-stim,s519
498,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",751,500.0,,654570,probe,22.0,poldrack-single-stim,s519
501,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",777,500.0,,658846,probe,23.0,poldrack-single-stim,s519
504,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",801,500.0,,663533,probe,24.0,poldrack-single-stim,s519
507,1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",782,500.0,,667809,probe,25.0,poldrack-single-stim,s519
510,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",827,500.0,,671814,probe,26.0,poldrack-single-stim,s519
513,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",798,500.0,,675819,probe,27.0,poldrack-single-stim,s519
516,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",760,500.0,,679960,probe,28.0,poldrack-single-stim,s519
519,2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",811,500.0,,684644,probe,29.0,poldrack-single-stim,s519
522,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",790,500.0,,689465,probe,30.0,poldrack-single-stim,s519
525,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",764,500.0,,693606,probe,31.0,poldrack-single-stim,s519
528,2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",878,500.0,,698290,probe,32.0,poldrack-single-stim,s519
531,2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",802,500.0,,702839,probe,33.0,poldrack-single-stim,s519
534,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",840,500.0,,707115,probe,34.0,poldrack-single-stim,s519
537,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",790,500.0,,711120,probe,35.0,poldrack-single-stim,s519
540,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",771,500.0,,715806,probe,36.0,poldrack-single-stim,s519
543,2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",766,500.0,,720762,probe,37.0,poldrack-single-stim,s519
546,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",800,500.0,,724902,probe,38.0,poldrack-single-stim,s519
549,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",998,500.0,,729315,probe,39.0,poldrack-single-stim,s519
