,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
57,437.0,PA_without_intermediate,,"0,0,0,3,2,0,0,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",89,3.0,3.0,"89,71",0.0,,437,"1,2,3,0,0,0,0,0,0",437.0,,42428,to_hand,poldrack-single-stim,s572
58,247.0,PA_without_intermediate,,"0,0,0,3,2,0,1,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",82,3.0,3.0,"89,71,82",0.0,,247,"1,2,3,0,0,0,0,0,0",247.0,,42676,to_board,poldrack-single-stim,s572
59,3088.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,9243.0,-1,,1000.0,,45768,feedback,poldrack-single-stim,s572
60,10755.0,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"2,0,0,0,0,0,1,3,0",82,3.0,1.0,82,1.0,,10755,"0,0,0,0,0,0,1,2,3",10755.0,,56525,to_hand,poldrack-single-stim,s572
61,374.0,PA_with_intermediate,,"0,0,0,3,0,0,1,2,0",practice,ward_and_allport,"2,0,0,0,0,0,1,3,0",71,3.0,1.0,"89,71,82",1.0,,374,"0,0,0,0,0,0,1,2,3",374.0,,56901,to_board,poldrack-single-stim,s572
62,1152.0,PA_with_intermediate,,"0,0,0,3,0,0,1,0,0",practice,ward_and_allport,"2,0,0,0,0,0,1,3,0",82,3.0,2.0,"71,82",1.0,,1152,"0,0,0,0,0,0,1,2,3",1152.0,,58055,to_hand,poldrack-single-stim,s572
63,296.0,PA_with_intermediate,,"2,0,0,3,0,0,1,0,0",practice,ward_and_allport,"2,0,0,0,0,0,1,3,0",89,3.0,2.0,"89,71,82",1.0,,296,"0,0,0,0,0,0,1,2,3",296.0,,58351,to_board,poldrack-single-stim,s572
64,482.0,PA_with_intermediate,,"2,0,0,0,0,0,1,0,0",practice,ward_and_allport,"2,0,0,0,0,0,1,3,0",71,3.0,3.0,"89,71,82",1.0,,482,"0,0,0,0,0,0,1,2,3",482.0,,58836,to_hand,poldrack-single-stim,s572
65,279.0,PA_with_intermediate,,"2,0,0,0,0,0,1,3,0",practice,ward_and_allport,"2,0,0,0,0,0,1,3,0",82,3.0,3.0,"89,71,82",1.0,,279,"0,0,0,0,0,0,1,2,3",279.0,,59117,to_board,poldrack-single-stim,s572
66,2000.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,15355.0,-1,,1000.0,,61123,feedback,poldrack-single-stim,s572
67,4842.0,PA_without_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,1,0,0,0,0,2,0,0",71,3.0,1.0,71,2.0,,4842,"0,0,0,1,2,3,0,0,0",4842.0,,65967,to_hand,poldrack-single-stim,s572
68,239.0,PA_without_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,1,0,0,0,0,2,0,0",89,3.0,1.0,"89,71,82",2.0,,239,"0,0,0,1,2,3,0,0,0",239.0,,66208,to_board,poldrack-single-stim,s572
69,362.0,PA_without_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,1,0,0,0,0,2,0,0",71,3.0,2.0,"89,71",2.0,,362,"0,0,0,1,2,3,0,0,0",362.0,,66572,to_hand,poldrack-single-stim,s572
