block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
4908.0,false,,discount_fixed,-1,78.0,129.0,"89,71",-1,20.0,4000.0,,81309,0.0,,poldrack-single-stim,s524
4908.0,larger_later,,discount_fixed,89,71.0,88.0,"89,71",23,20.0,4000.0,,86220,0.0,,poldrack-single-stim,s524
4840.0,larger_later,,discount_fixed,89,65.0,159.0,"89,71",459,20.0,4000.0,,91062,0.0,,poldrack-single-stim,s524
5112.0,larger_later,,discount_fixed,89,24.0,125.0,"89,71",535,20.0,4000.0,,96176,0.0,,poldrack-single-stim,s524
5112.0,larger_later,,discount_fixed,89,58.0,36.0,"89,71",592,20.0,4000.0,,101290,0.0,,poldrack-single-stim,s524
4704.0,larger_later,,discount_fixed,89,63.0,37.0,"89,71",3380,20.0,4000.0,,105997,0.0,,poldrack-single-stim,s524
4840.0,larger_later,,discount_fixed,89,75.0,41.0,"89,71",793,20.0,4000.0,,110839,0.0,,poldrack-single-stim,s524
4840.0,larger_later,,discount_fixed,89,45.0,72.0,"89,71",2244,20.0,4000.0,,115681,0.0,,poldrack-single-stim,s524
6880.0,larger_later,,discount_fixed,89,25.0,74.0,"89,71",620,20.0,4000.0,,122564,0.0,,poldrack-single-stim,s524
4568.0,larger_later,,discount_fixed,89,65.0,137.0,"89,71",849,20.0,4000.0,,127134,0.0,,poldrack-single-stim,s524
4772.0,larger_later,,discount_fixed,89,49.0,140.0,"89,71",449,20.0,4000.0,,131908,0.0,,poldrack-single-stim,s524
7016.0,larger_later,,discount_fixed,89,67.0,103.0,"89,71",657,20.0,4000.0,,138927,0.0,,poldrack-single-stim,s524
4704.0,smaller_sooner,,discount_fixed,71,69.0,172.0,"89,71",1848,20.0,4000.0,,143633,0.0,,poldrack-single-stim,s524
5180.0,larger_later,,discount_fixed,89,66.0,71.0,"89,71",1276,20.0,4000.0,,148815,0.0,,poldrack-single-stim,s524
5044.0,larger_later,,discount_fixed,89,71.0,176.0,"89,71",1008,20.0,4000.0,,153861,0.0,,poldrack-single-stim,s524
5316.0,larger_later,,discount_fixed,89,31.0,76.0,"89,71",1699,20.0,4000.0,,159179,0.0,,poldrack-single-stim,s524
4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",854,20.0,4000.0,,163749,0.0,,poldrack-single-stim,s524
4636.0,larger_later,,discount_fixed,89,60.0,124.0,"89,71",1676,20.0,4000.0,,168387,0.0,,poldrack-single-stim,s524
4908.0,larger_later,,discount_fixed,89,27.0,142.0,"89,71",1075,20.0,4000.0,,173296,0.0,,poldrack-single-stim,s524
4500.0,larger_later,,discount_fixed,89,25.0,70.0,"89,71",3517,20.0,4000.0,,177798,0.0,,poldrack-single-stim,s524
4976.0,larger_later,,discount_fixed,89,44.0,92.0,"89,71",739,20.0,4000.0,,182776,0.0,,poldrack-single-stim,s524
4908.0,larger_later,,discount_fixed,89,41.0,27.0,"89,71",1457,20.0,4000.0,,187686,0.0,,poldrack-single-stim,s524
4568.0,larger_later,,discount_fixed,89,64.0,89.0,"89,71",2327,20.0,4000.0,,192256,0.0,,poldrack-single-stim,s524
4500.0,larger_later,,discount_fixed,89,78.0,108.0,"89,71",813,20.0,4000.0,,196759,0.0,,poldrack-single-stim,s524
6200.0,larger_later,,discount_fixed,89,80.0,145.0,"89,71",5101,20.0,4000.0,,202961,0.0,,poldrack-single-stim,s524
4704.0,larger_later,,discount_fixed,89,41.0,174.0,"89,71",576,20.0,4000.0,,207667,0.0,,poldrack-single-stim,s524
5044.0,larger_later,,discount_fixed,89,42.0,145.0,"89,71",949,20.0,4000.0,,212714,0.0,,poldrack-single-stim,s524
5044.0,larger_later,,discount_fixed,89,36.0,114.0,"89,71",883,20.0,4000.0,,217760,0.0,,poldrack-single-stim,s524
5180.0,larger_later,,discount_fixed,89,58.0,55.0,"89,71",1094,20.0,4000.0,,222944,0.0,,poldrack-single-stim,s524
4976.0,larger_later,,discount_fixed,89,81.0,58.0,"89,71",3817,20.0,4000.0,,227922,0.0,,poldrack-single-stim,s524
