,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
44,4568.0,smaller_sooner,,discount_fixed,71,40.0,159.0,"89,71",1329,20.0,4000.0,,106799,,poldrack-single-stim,s483
45,4500.0,smaller_sooner,,discount_fixed,71,76.0,161.0,"89,71",1026,20.0,4000.0,,111300,,poldrack-single-stim,s483
46,4908.0,smaller_sooner,,discount_fixed,71,48.0,128.0,"89,71",1007,20.0,4000.0,,116210,,poldrack-single-stim,s483
47,4568.0,smaller_sooner,,discount_fixed,71,39.0,95.0,"89,71",1910,20.0,4000.0,,120780,,poldrack-single-stim,s483
48,6200.0,smaller_sooner,,discount_fixed,71,83.0,105.0,"89,71",1316,20.0,4000.0,,126983,,poldrack-single-stim,s483
49,4908.0,larger_later,,discount_fixed,89,67.0,41.0,"89,71",1763,20.0,4000.0,,131893,,poldrack-single-stim,s483
50,5248.0,smaller_sooner,,discount_fixed,71,56.0,172.0,"89,71",1366,20.0,4000.0,,137144,,poldrack-single-stim,s483
51,5044.0,smaller_sooner,,discount_fixed,71,28.0,123.0,"89,71",1237,20.0,4000.0,,142189,,poldrack-single-stim,s483
52,4636.0,smaller_sooner,,discount_fixed,71,50.0,129.0,"89,71",1375,20.0,4000.0,,146827,,poldrack-single-stim,s483
53,4704.0,smaller_sooner,,discount_fixed,71,23.0,61.0,"89,71",1439,20.0,4000.0,,151533,,poldrack-single-stim,s483
54,4636.0,smaller_sooner,,discount_fixed,71,79.0,92.0,"89,71",2859,20.0,4000.0,,156171,,poldrack-single-stim,s483
55,4568.0,smaller_sooner,,discount_fixed,71,61.0,141.0,"89,71",1110,20.0,4000.0,,160742,,poldrack-single-stim,s483
56,4568.0,larger_later,,discount_fixed,89,43.0,38.0,"89,71",1923,20.0,4000.0,,165312,,poldrack-single-stim,s483
57,4908.0,smaller_sooner,,discount_fixed,71,66.0,145.0,"89,71",1597,20.0,4000.0,,170222,,poldrack-single-stim,s483
58,4840.0,larger_later,,discount_fixed,89,30.0,23.0,"89,71",1315,20.0,4000.0,,175064,,poldrack-single-stim,s483
59,5248.0,smaller_sooner,,discount_fixed,71,32.0,57.0,"89,71",2865,20.0,4000.0,,180314,,poldrack-single-stim,s483
60,4772.0,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",1597,20.0,4000.0,,185088,,poldrack-single-stim,s483
61,5996.0,smaller_sooner,,discount_fixed,71,43.0,120.0,"89,71",1000,20.0,4000.0,,191086,,poldrack-single-stim,s483
62,5588.0,larger_later,,discount_fixed,89,75.0,60.0,"89,71",2565,20.0,4000.0,,196675,,poldrack-single-stim,s483
63,4568.0,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",1798,20.0,4000.0,,201246,,poldrack-single-stim,s483
64,5112.0,larger_later,,discount_fixed,89,24.0,38.0,"89,71",1380,20.0,4000.0,,206360,,poldrack-single-stim,s483
65,5656.0,smaller_sooner,,discount_fixed,71,82.0,74.0,"89,71",1327,20.0,4000.0,,212019,,poldrack-single-stim,s483
66,4568.0,larger_later,,discount_fixed,89,58.0,53.0,"89,71",2302,20.0,4000.0,,216590,,poldrack-single-stim,s483
67,4772.0,larger_later,,discount_fixed,89,54.0,23.0,"89,71",1584,20.0,4000.0,,221364,,poldrack-single-stim,s483
68,5044.0,smaller_sooner,,discount_fixed,71,41.0,55.0,"89,71",1788,20.0,4000.0,,226409,,poldrack-single-stim,s483
69,4840.0,smaller_sooner,,discount_fixed,71,77.0,142.0,"89,71",1091,20.0,4000.0,,231252,,poldrack-single-stim,s483
70,5180.0,smaller_sooner,,discount_fixed,71,25.0,108.0,"89,71",3084,20.0,4000.0,,236434,,poldrack-single-stim,s483
71,5044.0,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",1448,20.0,4000.0,,241481,,poldrack-single-stim,s483
72,4976.0,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",1633,20.0,4000.0,,246458,,poldrack-single-stim,s483
73,4976.0,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",1027,20.0,4000.0,,251436,,poldrack-single-stim,s483
74,5316.0,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",2283,20.0,4000.0,,256753,,poldrack-single-stim,s483
75,4500.0,larger_later,,discount_fixed,89,80.0,39.0,"89,71",1799,20.0,4000.0,,261255,,poldrack-single-stim,s483
76,5044.0,larger_later,,discount_fixed,89,22.0,21.0,"89,71",1355,20.0,4000.0,,266302,,poldrack-single-stim,s483
77,4704.0,smaller_sooner,,discount_fixed,71,52.0,139.0,"89,71",1469,20.0,4000.0,,271008,,poldrack-single-stim,s483
78,4840.0,smaller_sooner,,discount_fixed,71,54.0,126.0,"89,71",1484,20.0,4000.0,,275850,,poldrack-single-stim,s483
79,6744.0,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",1112,20.0,4000.0,,282596,,poldrack-single-stim,s483
80,4500.0,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",1137,20.0,4000.0,,287099,,poldrack-single-stim,s483
81,4568.0,smaller_sooner,,discount_fixed,71,36.0,140.0,"89,71",1787,20.0,4000.0,,291669,,poldrack-single-stim,s483
82,4704.0,smaller_sooner,,discount_fixed,71,35.0,171.0,"89,71",846,20.0,4000.0,,296375,,poldrack-single-stim,s483
83,4908.0,smaller_sooner,,discount_fixed,71,34.0,43.0,"89,71",1317,20.0,4000.0,,301285,,poldrack-single-stim,s483
84,4568.0,smaller_sooner,,discount_fixed,71,74.0,121.0,"89,71",944,20.0,4000.0,,305856,,poldrack-single-stim,s483
85,7500.0,,,discount_fixed,-1,,,none,-1,,7500.0,,313358,rest_block,poldrack-single-stim,s483
86,4772.0,smaller_sooner,,discount_fixed,71,45.0,107.0,"89,71",1395,20.0,4000.0,,319133,,poldrack-single-stim,s483
87,4636.0,larger_later,,discount_fixed,89,77.0,24.0,"89,71",1616,20.0,4000.0,,323771,,poldrack-single-stim,s483
88,4568.0,smaller_sooner,,discount_fixed,71,39.0,161.0,"89,71",1064,20.0,4000.0,,328342,,poldrack-single-stim,s483
89,5452.0,smaller_sooner,,discount_fixed,71,62.0,180.0,"89,71",1088,20.0,4000.0,,333796,,poldrack-single-stim,s483
90,5384.0,smaller_sooner,,discount_fixed,71,24.0,139.0,"89,71",1192,20.0,4000.0,,339182,,poldrack-single-stim,s483
91,4568.0,smaller_sooner,,discount_fixed,71,58.0,72.0,"89,71",2079,20.0,4000.0,,343752,,poldrack-single-stim,s483
92,6268.0,smaller_sooner,,discount_fixed,71,56.0,93.0,"89,71",1366,20.0,4000.0,,350022,,poldrack-single-stim,s483
93,5520.0,larger_later,,discount_fixed,89,45.0,26.0,"89,71",1299,20.0,4000.0,,355544,,poldrack-single-stim,s483
94,4568.0,larger_later,,discount_fixed,89,23.0,42.0,"89,71",1543,20.0,4000.0,,360113,,poldrack-single-stim,s483
95,4636.0,larger_later,,discount_fixed,89,50.0,41.0,"89,71",1568,20.0,4000.0,,364752,,poldrack-single-stim,s483
96,4636.0,smaller_sooner,,discount_fixed,71,25.0,176.0,"89,71",905,20.0,4000.0,,369390,,poldrack-single-stim,s483
97,5112.0,larger_later,,discount_fixed,89,54.0,22.0,"89,71",1395,20.0,4000.0,,374503,,poldrack-single-stim,s483
98,5316.0,smaller_sooner,,discount_fixed,71,29.0,44.0,"89,71",2096,20.0,4000.0,,379821,,poldrack-single-stim,s483
99,4568.0,smaller_sooner,,discount_fixed,71,24.0,89.0,"89,71",1271,20.0,4000.0,,384391,,poldrack-single-stim,s483
100,4568.0,smaller_sooner,,discount_fixed,71,23.0,77.0,"89,71",1211,20.0,4000.0,,388961,,poldrack-single-stim,s483
