,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
270,2100.544,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",564,1700.0,,195955,stim,69.0,poldrack-single-stim,s546
273,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",604,1700.0,,198560,stim,70.0,poldrack-single-stim,s546
276,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",547,1700.0,,201166,stim,71.0,poldrack-single-stim,s546
279,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",752,1700.0,,203774,stim,72.0,poldrack-single-stim,s546
282,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",538,1700.0,,206379,stim,73.0,poldrack-single-stim,s546
285,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",551,1700.0,,208986,stim,74.0,poldrack-single-stim,s546
288,2100.272,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",681,1700.0,,211593,stim,75.0,poldrack-single-stim,s546
291,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",408,1700.0,,214198,stim,76.0,poldrack-single-stim,s546
294,2100.408,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",559,1700.0,,216805,stim,77.0,poldrack-single-stim,s546
297,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",645,1700.0,,219412,stim,78.0,poldrack-single-stim,s546
300,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",477,1700.0,,222017,stim,79.0,poldrack-single-stim,s546
303,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",445,1700.0,,224622,stim,80.0,poldrack-single-stim,s546
306,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",479,1700.0,,227228,stim,81.0,poldrack-single-stim,s546
309,2100.952,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",526,1700.0,,229835,stim,82.0,poldrack-single-stim,s546
312,2100.272,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",541,1700.0,,232442,stim,83.0,poldrack-single-stim,s546
315,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",451,1700.0,,235047,stim,84.0,poldrack-single-stim,s546
318,2100.0,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",416,1700.0,,237653,stim,85.0,poldrack-single-stim,s546
321,2100.136,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",609,1700.0,,240260,stim,86.0,poldrack-single-stim,s546
324,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",630,1700.0,,242866,stim,87.0,poldrack-single-stim,s546
327,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",785,1700.0,,245472,stim,88.0,poldrack-single-stim,s546
330,2100.272,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",461,1700.0,,248077,stim,89.0,poldrack-single-stim,s546
