block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",834,500.0,,442466,0.0,probe,15.0,poldrack-single-stim,s557
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",599,500.0,,446608,0.0,probe,16.0,poldrack-single-stim,s557
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",808,500.0,,450750,0.0,probe,17.0,poldrack-single-stim,s557
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",899,500.0,,454755,0.0,probe,18.0,poldrack-single-stim,s557
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",681,500.0,,458897,0.0,probe,19.0,poldrack-single-stim,s557
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",691,500.0,,462905,0.0,probe,20.0,poldrack-single-stim,s557
2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",623,500.0,,467591,0.0,probe,21.0,poldrack-single-stim,s557
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",581,500.0,,471596,0.0,probe,22.0,poldrack-single-stim,s557
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",607,500.0,,476009,0.0,probe,23.0,poldrack-single-stim,s557
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",533,500.0,,480151,0.0,probe,24.0,poldrack-single-stim,s557
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",814,500.0,,484292,0.0,probe,25.0,poldrack-single-stim,s557
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",614,500.0,,488434,0.0,probe,26.0,poldrack-single-stim,s557
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",395,500.0,,492440,0.0,probe,27.0,poldrack-single-stim,s557
