,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,text,time_elapsed,trial_id,trial_type,worker_id
44,smaller_sooner,,discount_fixed,71,40.0,159.0,"89,71",943,20.0,,106792,,poldrack-single-stim,s445
45,smaller_sooner,,discount_fixed,71,76.0,161.0,"89,71",1381,20.0,,111294,,poldrack-single-stim,s445
46,smaller_sooner,,discount_fixed,71,48.0,128.0,"89,71",1291,20.0,,116203,,poldrack-single-stim,s445
47,smaller_sooner,,discount_fixed,71,39.0,95.0,"89,71",1332,20.0,,120774,,poldrack-single-stim,s445
48,smaller_sooner,,discount_fixed,71,83.0,105.0,"89,71",1698,20.0,,126976,,poldrack-single-stim,s445
49,smaller_sooner,,discount_fixed,71,67.0,41.0,"89,71",1770,20.0,,131887,,poldrack-single-stim,s445
50,smaller_sooner,,discount_fixed,71,56.0,172.0,"89,71",1094,20.0,,137137,,poldrack-single-stim,s445
51,smaller_sooner,,discount_fixed,71,28.0,123.0,"89,71",1418,20.0,,142184,,poldrack-single-stim,s445
52,smaller_sooner,,discount_fixed,71,50.0,129.0,"89,71",1087,20.0,,146822,,poldrack-single-stim,s445
53,smaller_sooner,,discount_fixed,71,23.0,61.0,"89,71",1125,20.0,,151529,,poldrack-single-stim,s445
54,smaller_sooner,,discount_fixed,71,79.0,92.0,"89,71",1209,20.0,,156167,,poldrack-single-stim,s445
55,smaller_sooner,,discount_fixed,71,61.0,141.0,"89,71",812,20.0,,160737,,poldrack-single-stim,s445
56,larger_later,,discount_fixed,89,43.0,38.0,"89,71",1767,20.0,,165308,,poldrack-single-stim,s445
57,smaller_sooner,,discount_fixed,71,66.0,145.0,"89,71",842,20.0,,170218,,poldrack-single-stim,s445
58,larger_later,,discount_fixed,89,30.0,23.0,"89,71",1618,20.0,,175060,,poldrack-single-stim,s445
59,smaller_sooner,,discount_fixed,71,32.0,57.0,"89,71",1039,20.0,,180310,,poldrack-single-stim,s445
60,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",1157,20.0,,185085,,poldrack-single-stim,s445
61,smaller_sooner,,discount_fixed,71,43.0,120.0,"89,71",849,20.0,,191083,,poldrack-single-stim,s445
62,smaller_sooner,,discount_fixed,71,75.0,60.0,"89,71",1409,20.0,,196673,,poldrack-single-stim,s445
63,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",907,20.0,,201243,,poldrack-single-stim,s445
64,smaller_sooner,,discount_fixed,71,24.0,38.0,"89,71",1830,20.0,,206357,,poldrack-single-stim,s445
65,smaller_sooner,,discount_fixed,71,82.0,74.0,"89,71",2153,20.0,,212014,,poldrack-single-stim,s445
66,smaller_sooner,,discount_fixed,71,58.0,53.0,"89,71",2865,20.0,,216585,,poldrack-single-stim,s445
67,larger_later,,discount_fixed,89,54.0,23.0,"89,71",1503,20.0,,221360,,poldrack-single-stim,s445
68,smaller_sooner,,discount_fixed,71,41.0,55.0,"89,71",1071,20.0,,226406,,poldrack-single-stim,s445
69,smaller_sooner,,discount_fixed,71,77.0,142.0,"89,71",1275,20.0,,231247,,poldrack-single-stim,s445
70,smaller_sooner,,discount_fixed,71,25.0,108.0,"89,71",1003,20.0,,236429,,poldrack-single-stim,s445
71,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",866,20.0,,241475,,poldrack-single-stim,s445
72,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",1482,20.0,,246452,,poldrack-single-stim,s445
73,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",1213,20.0,,251430,,poldrack-single-stim,s445
74,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",1860,20.0,,256748,,poldrack-single-stim,s445
75,larger_later,,discount_fixed,89,80.0,39.0,"89,71",2126,20.0,,261251,,poldrack-single-stim,s445
76,smaller_sooner,,discount_fixed,71,22.0,21.0,"89,71",1892,20.0,,266297,,poldrack-single-stim,s445
77,smaller_sooner,,discount_fixed,71,52.0,139.0,"89,71",840,20.0,,271003,,poldrack-single-stim,s445
78,smaller_sooner,,discount_fixed,71,54.0,126.0,"89,71",936,20.0,,275845,,poldrack-single-stim,s445
79,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",865,20.0,,282592,,poldrack-single-stim,s445
80,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",1192,20.0,,287093,,poldrack-single-stim,s445
81,smaller_sooner,,discount_fixed,71,36.0,140.0,"89,71",1088,20.0,,291663,,poldrack-single-stim,s445
82,smaller_sooner,,discount_fixed,71,35.0,171.0,"89,71",1341,20.0,,296370,,poldrack-single-stim,s445
83,smaller_sooner,,discount_fixed,71,34.0,43.0,"89,71",1489,20.0,,301280,,poldrack-single-stim,s445
84,smaller_sooner,,discount_fixed,71,74.0,121.0,"89,71",1146,20.0,,305850,,poldrack-single-stim,s445
85,,,discount_fixed,-1,,,none,-1,,,313353,rest_block,poldrack-single-stim,s445
