,Unnamed: 0,Unnamed: 0.1,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
42,42,185,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",800.0,orange,2.0,magnitude,switch,,76260,stim,26.0,poldrack-single-stim,s061
43,43,188,100.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",814.0,orange,8.0,magnitude,stay,,78367,stim,27.0,poldrack-single-stim,s061
44,44,191,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",624.0,#1F45FC,4.0,color,switch,,81273,stim,28.0,poldrack-single-stim,s061
45,45,194,100.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",1158.0,orange,4.0,color,stay,,83516,stim,29.0,poldrack-single-stim,s061
46,46,197,100.0,True,71.0,Orange-Blue,switch,test,twobytwo,71.0,"89,71",863.0,orange,4.0,color,stay,,85621,stim,30.0,poldrack-single-stim,s061
47,47,200,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",719.0,orange,4.0,magnitude,switch,,88666,stim,31.0,poldrack-single-stim,s061
48,48,203,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",810.0,orange,9.0,color,switch,,92253,stim,32.0,poldrack-single-stim,s061
49,49,206,100.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",916.0,orange,2.0,color,stay,,94635,stim,33.0,poldrack-single-stim,s061
50,50,209,900.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",469.0,#1F45FC,3.0,color,stay,,97677,stim,34.0,poldrack-single-stim,s061
51,51,212,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",1038.0,orange,3.0,magnitude,switch,,99787,stim,35.0,poldrack-single-stim,s061
52,52,215,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",1045.0,orange,3.0,color,switch,,102029,stim,36.0,poldrack-single-stim,s061
53,53,218,900.0,True,71.0,Magnitude,,test,twobytwo,71.0,"89,71",941.0,#1F45FC,1.0,magnitude,switch,,105617,stim,37.0,poldrack-single-stim,s061
54,54,221,900.0,True,89.0,Color,,test,twobytwo,89.0,"89,71",489.0,#1F45FC,4.0,color,switch,,108796,stim,38.0,poldrack-single-stim,s061
55,55,224,100.0,True,71.0,Orange-Blue,switch,test,twobytwo,71.0,"89,71",801.0,orange,6.0,color,stay,,110903,stim,39.0,poldrack-single-stim,s061
56,56,227,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",583.0,orange,8.0,magnitude,switch,,113811,stim,40.0,poldrack-single-stim,s061
57,57,230,900.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",671.0,orange,9.0,magnitude,stay,,116854,stim,41.0,poldrack-single-stim,s061
58,58,233,100.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",817.0,#1F45FC,9.0,magnitude,stay,,118959,stim,42.0,poldrack-single-stim,s061
59,59,236,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",583.0,#1F45FC,4.0,magnitude,stay,,121866,stim,43.0,poldrack-single-stim,s061
60,60,239,900.0,True,89.0,Magnitude,switch,test,twobytwo,89.0,"89,71",686.0,#1F45FC,8.0,magnitude,stay,,124774,stim,44.0,poldrack-single-stim,s061
61,61,242,100.0,False,89.0,Color,,test,twobytwo,71.0,"89,71",888.0,#1F45FC,4.0,color,switch,,127154,stim,45.0,poldrack-single-stim,s061
62,62,245,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",1280.0,#1F45FC,6.0,magnitude,switch,,129668,stim,46.0,poldrack-single-stim,s061
63,63,248,900.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",697.0,#1F45FC,8.0,magnitude,stay,,132574,stim,47.0,poldrack-single-stim,s061
64,64,251,900.0,True,89.0,Magnitude,stay,test,twobytwo,89.0,"89,71",659.0,#1F45FC,8.0,magnitude,stay,,135481,stim,48.0,poldrack-single-stim,s061
65,65,254,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",620.0,orange,3.0,color,switch,,138389,stim,49.0,poldrack-single-stim,s061
66,66,257,900.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",906.0,#1F45FC,9.0,magnitude,switch,,141569,stim,50.0,poldrack-single-stim,s061
67,67,260,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",900.0,orange,2.0,magnitude,stay,,144612,stim,51.0,poldrack-single-stim,s061
68,68,263,900.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",608.0,orange,7.0,color,switch,,147522,stim,52.0,poldrack-single-stim,s061
69,69,266,100.0,True,89.0,Orange-Blue,switch,test,twobytwo,89.0,"89,71",1251.0,#1F45FC,4.0,color,stay,,150172,stim,53.0,poldrack-single-stim,s061
70,70,269,100.0,True,89.0,Magnitude,,test,twobytwo,89.0,"89,71",1077.0,#1F45FC,9.0,magnitude,switch,,152551,stim,54.0,poldrack-single-stim,s061
