,Unnamed: 0,Unnamed: 0.1,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
86,86,293,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",481,,345023,probe,35.0,poldrack-single-stim,s061
87,87,296,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",304,,349710,probe,36.0,poldrack-single-stim,s061
88,88,299,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",497,,353715,probe,37.0,poldrack-single-stim,s061
89,89,302,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",742,,357857,probe,38.0,poldrack-single-stim,s061
90,90,305,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",699,,361997,probe,39.0,poldrack-single-stim,s061
91,91,306,,,,,dot_pattern_expectancy,-1.0,none,-1,,369501,rest_block,,poldrack-single-stim,s061
92,92,310,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",555,,377189,probe,0.0,poldrack-single-stim,s061
93,93,313,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",602,,382011,probe,1.0,poldrack-single-stim,s061
94,94,316,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",816,,386153,probe,2.0,poldrack-single-stim,s061
95,95,319,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",689,,390566,probe,3.0,poldrack-single-stim,s061
96,96,322,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",431,,396611,probe,4.0,poldrack-single-stim,s061
97,97,325,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",392,,400753,probe,5.0,poldrack-single-stim,s061
98,98,328,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",799,,404758,probe,6.0,poldrack-single-stim,s061
99,99,331,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1052,,408764,probe,7.0,poldrack-single-stim,s061
100,100,334,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",527,,413042,probe,8.0,poldrack-single-stim,s061
101,101,337,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",290,,418000,probe,9.0,poldrack-single-stim,s061
102,102,340,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",862,,422416,probe,10.0,poldrack-single-stim,s061
103,103,343,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",399,,426559,probe,11.0,poldrack-single-stim,s061
104,104,346,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",584,,430564,probe,12.0,poldrack-single-stim,s061
105,105,349,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",467,,434706,probe,13.0,poldrack-single-stim,s061
106,106,352,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",498,,438848,probe,14.0,poldrack-single-stim,s061
107,107,355,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",318,,443806,probe,15.0,poldrack-single-stim,s061
108,108,358,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",519,,447812,probe,16.0,poldrack-single-stim,s061
109,109,361,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",792,,451820,probe,17.0,poldrack-single-stim,s061
110,110,364,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",494,,455964,probe,18.0,poldrack-single-stim,s061
111,111,367,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",467,,460107,probe,19.0,poldrack-single-stim,s061
112,112,370,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",882,,464251,probe,20.0,poldrack-single-stim,s061
113,113,373,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",619,,468259,probe,21.0,poldrack-single-stim,s061
114,114,376,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",718,,472265,probe,22.0,poldrack-single-stim,s061
115,115,379,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",543,,476544,probe,23.0,poldrack-single-stim,s061
116,116,382,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",469,,481230,probe,24.0,poldrack-single-stim,s061
117,117,385,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",361,,485508,probe,25.0,poldrack-single-stim,s061
118,118,388,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",649,,489516,probe,26.0,poldrack-single-stim,s061
119,119,391,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",485,,493522,probe,27.0,poldrack-single-stim,s061
120,120,394,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",608,,497667,probe,28.0,poldrack-single-stim,s061
121,121,397,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",792,,502354,probe,29.0,poldrack-single-stim,s061
122,122,400,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",748,,507177,probe,30.0,poldrack-single-stim,s061
123,123,403,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1034,,511320,probe,31.0,poldrack-single-stim,s061
124,124,406,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",804,,516008,probe,32.0,poldrack-single-stim,s061
125,125,409,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",671,,520560,probe,33.0,poldrack-single-stim,s061
126,126,412,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",518,,524838,probe,34.0,poldrack-single-stim,s061
127,127,415,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1316,,528846,probe,35.0,poldrack-single-stim,s061
128,128,418,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",372,,533534,probe,36.0,poldrack-single-stim,s061
