rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,small_amount,large_amount,later_delay,choice,exp_id,bonus
1820,89,poldrack-single-stim,24,93553,0.0-24.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$74</div><br><br><div class = delbox style = ""color:white"">121 days</div></div>","89,71",4000,,20,74,121,larger_later,,
1508,89,poldrack-single-stim,25,98327,0.0-25.0,s549,,4772,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$45</div><br><br><div class = delbox style = ""color:white"">107 days</div></div>","89,71",4000,,20,45,107,larger_later,,
745,89,poldrack-single-stim,26,102966,0.0-26.0,s549,,4636,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$77</div><br><br><div class = delbox style = ""color:white"">24 days</div></div>","89,71",4000,,20,77,24,larger_later,,
765,89,poldrack-single-stim,27,107537,0.0-27.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$39</div><br><br><div class = delbox style = ""color:white"">161 days</div></div>","89,71",4000,,20,39,161,larger_later,,
878,89,poldrack-single-stim,28,112991,0.0-28.0,s549,,5452,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$62</div><br><br><div class = delbox style = ""color:white"">180 days</div></div>","89,71",4000,,20,62,180,larger_later,,
1458,71,poldrack-single-stim,29,118376,0.0-29.0,s549,,5384,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$24</div><br><br><div class = delbox style = ""color:white"">139 days</div></div>","89,71",4000,,20,24,139,smaller_sooner,,
1653,89,poldrack-single-stim,30,122947,0.0-30.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">72 days</div></div>","89,71",4000,,20,58,72,larger_later,,
1116,89,poldrack-single-stim,31,129217,0.0-31.0,s549,,6268,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$56</div><br><br><div class = delbox style = ""color:white"">93 days</div></div>","89,71",4000,,20,56,93,larger_later,,
1465,89,poldrack-single-stim,32,134739,0.0-32.0,s549,,5520,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$45</div><br><br><div class = delbox style = ""color:white"">26 days</div></div>","89,71",4000,,20,45,26,larger_later,,
1201,71,poldrack-single-stim,33,139310,0.0-33.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$23</div><br><br><div class = delbox style = ""color:white"">42 days</div></div>","89,71",4000,,20,23,42,smaller_sooner,,
692,89,poldrack-single-stim,34,143948,0.0-34.0,s549,,4636,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$50</div><br><br><div class = delbox style = ""color:white"">41 days</div></div>","89,71",4000,,20,50,41,larger_later,,
1261,71,poldrack-single-stim,35,148587,0.0-35.0,s549,,4636,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$25</div><br><br><div class = delbox style = ""color:white"">176 days</div></div>","89,71",4000,,20,25,176,smaller_sooner,,
897,89,poldrack-single-stim,36,153700,0.0-36.0,s549,,5112,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$54</div><br><br><div class = delbox style = ""color:white"">22 days</div></div>","89,71",4000,,20,54,22,larger_later,,
2278,89,poldrack-single-stim,37,159018,0.0-37.0,s549,,5316,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$29</div><br><br><div class = delbox style = ""color:white"">44 days</div></div>","89,71",4000,,20,29,44,larger_later,,
