rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,responses,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,exp_stage,trial_num,SS_stimulus,SS_delay,SS_trial_type,SS_duration,exp_id
870,71,stop-signal,111,307456,0.0-28.0-8.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,49,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,600,go,500,
713,89,stop-signal,112,309843,0.0-28.0-9.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,50,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,600,go,500,
526,89,stop-signal,113,312231,0.0-28.0-10.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,51,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,600,stop,500,
1478,89,stop-signal,114,314890,0.0-28.0-11.0,s636,,2658,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,52,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,550,go,500,
1462,71,stop-signal,115,317413,0.0-28.0-12.0,s636,,2522,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,,test,53,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,550,go,500,
-1,-1,stop-signal,116,319664,0.0-28.0-13.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,,test,54,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,550,stop,500,
-1,-1,stop-signal,117,322597,0.0-28.0-14.0,s636,,2930,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,false,71,,test,55,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,600,stop,500,
1255,89,stop-signal,118,324848,0.0-28.0-15.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,false,71,,test,56,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,650,go,500,
1211,71,stop-signal,119,327372,0.0-28.0-16.0,s636,,2522,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,57,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,650,go,500,
-1,-1,stop-signal,120,329623,0.0-28.0-17.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,false,71,,test,58,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,650,stop,500,
1610,71,stop-signal,121,331874,0.0-28.0-18.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,59,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,700,go,500,
998,71,stop-signal,122,334126,0.0-28.0-19.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,60,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,700,go,500,
1247,89,stop-signal,123,336377,0.0-28.0-20.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,61,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,700,go,500,
1511,71,stop-signal,124,338900,0.0-28.0-21.0,s636,,2522,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,,test,62,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,700,go,500,
-1,-1,stop-signal,125,341968,0.0-28.0-22.0,s636,,3066,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,,test,63,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,700,stop,500,
-1,-1,stop-signal,126,344219,0.0-28.0-23.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,false,71,,test,64,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,750,stop,500,
2156,89,stop-signal,127,346606,0.0-28.0-24.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,65,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,go,500,
-1,-1,stop-signal,128,348994,0.0-28.0-25.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,,test,66,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,stop,500,
995,71,stop-signal,129,351517,0.0-28.0-26.0,s636,,2522,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,67,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,go,500,
1135,89,stop-signal,130,353904,0.0-28.0-27.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,68,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,go,500,
576,71,stop-signal,131,356292,0.0-28.0-28.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,69,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,go,500,
485,71,stop-signal,132,359087,0.0-28.0-29.0,s636,,2794,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,70,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,stop,500,
1149,89,stop-signal,133,361474,0.0-28.0-30.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,false,71,,test,71,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,go,500,
673,71,stop-signal,134,363726,0.0-28.0-31.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,,test,72,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,stop,500,
-1,-1,stop-signal,135,366250,0.0-28.0-32.0,s636,,2522,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,,test,73,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,750,stop,500,
-1,-1,stop-signal,136,368637,0.0-28.0-33.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,,test,74,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,stop,500,
1382,71,stop-signal,137,371025,0.0-28.0-34.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,75,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,go,500,
563,71,stop-signal,138,373276,0.0-28.0-35.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,76,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,stop,500,
949,89,stop-signal,139,375663,0.0-28.0-36.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,77,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,go,500,
695,89,stop-signal,140,377915,0.0-28.0-37.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,78,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,go,500,
884,71,stop-signal,141,380166,0.0-28.0-38.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,,test,79,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,stop,500,
662,89,stop-signal,142,382417,0.0-28.0-39.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,,test,80,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,750,go,500,
580,71,stop-signal,143,384805,0.0-28.0-40.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,,test,81,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,750,go,500,
687,89,stop-signal,144,387056,0.0-28.0-41.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,false,71,,test,82,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,750,stop,500,
-1,-1,poldrack-single-stim,145,394558,0.0-29.0,s636,,7500,1000,rest_block,,<div class = centerbox><div class = center-text>Take a break!<br>Next run will start in a moment</div></div>,none,7500,,,,,,,,,,
-1,-1,poldrack-single-stim,146,397059,0.0-30.0,s636,,1500,500,test_start_block,,<div class = centerbox><div class = center-text>Get ready!</p></div>,none,1500,,,,,,,,,,
-1,-1,stop-signal,147,399811,0.0-31.0-0.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,false,89,,test,83,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,700,stop,500,
-1,-1,stop-signal,148,402199,0.0-31.0-1.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,false,71,,test,84,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,750,stop,500,
-1,-1,stop-signal,149,404586,0.0-31.0-2.0,s636,,2386,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,false,89,,test,85,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,800,stop,500,
1518,89,stop-signal,150,406837,0.0-31.0-3.0,s636,,2250,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,true,89,,test,86,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,go,500,
1542,71,stop-signal,151,409360,0.0-31.0-4.0,s636,,2522,0,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,,test,87,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,850,stop,500,
