,ANT_acc,discountFix_acc,DPX_acc,motorSelectiveStop_acc,stopSignal_acc,twoByTwo_acc,stroop_acc,WATT_acc,CCTHot_acc
s572,0.9609375,,0.98125,0.9868421052631579,1.0,0.9916666666666667,0.9895833333333334,1.3041666666666667,0.5115384615384615
s573,0.9921875,0.4583333333333333,0.9625,0.9736842105263158,0.96,0.925,0.9479166666666666,1.4291666666666667,0.56
s574,0.984375,0.2627118644067797,0.89375,0.8552631578947368,0.92,0.9291666666666667,0.9375,1.3666666666666667,0.5202492211838006
s577,0.9453125,0.47413793103448276,0.725,0.9866666666666667,0.8133333333333334,0.7958333333333333,0.7916666666666666,1.3458333333333332,0.46920821114369504
s579,0.9765625,0.3305084745762712,0.95625,0.92,0.8,0.8666666666666667,0.90625,1.2833333333333332,0.55
s581,0.984375,0.058823529411764705,0.925,0.9054054054054054,0.96,0.9416666666666667,0.9479166666666666,1.4243589743589744,0.42641509433962266
s582,0.9921875,0.5982905982905983,0.94375,1.0,0.9333333333333333,0.9,0.90625,1.3041666666666667,0.5632183908045977
s583,0.96875,0.7666666666666667,0.99375,0.9866666666666667,1.0,0.9875,0.9895833333333334,1.45,0.4863636363636364
s584,0.9921875,0.5833333333333334,0.95,0.9605263157894737,0.9733333333333334,0.9125,0.9583333333333334,1.2372340425531914,0.5
s585,0.984375,0.65,0.975,1.0,1.0,0.9291666666666667,1.0,1.325,0.6590909090909091
s586,0.9921875,0.0,0.45,0.92,0.7733333333333333,0.8083333333333333,0.78125,1.16875,0.5493562231759657
s587,0.9921875,0.125,1.0,0.9866666666666667,0.9866666666666667,0.9708333333333333,1.0,1.45,0.5642458100558659
s588,1.0,0.35,0.9875,0.9866666666666667,0.9733333333333334,0.9125,1.0,1.3875,0.47717842323651455
s589,1.0,0.7083333333333334,0.9875,0.96,0.8933333333333333,0.9708333333333333,0.9479166666666666,1.2416666666666667,0.7948717948717948
s590,1.0,0.225,0.95,1.0,0.9333333333333333,0.8875,0.9791666666666666,1.3458333333333332,0.532258064516129
s591,1.0,0.39166666666666666,0.95,0.9736842105263158,0.9866666666666667,0.8958333333333334,0.9583333333333334,1.4291666666666667,0.49466192170818507
s592,,0.175,0.94375,1.0,,,0.96875,,
s593,1.0,0.675,0.96875,1.0,1.0,0.95,0.9791666666666666,1.2978260869565217,0.52
s594,0.9765625,0.14166666666666666,0.94375,0.9733333333333334,0.9733333333333334,0.925,0.8541666666666666,1.3666666666666667,0.535593220338983
s595,1.0,0.5798319327731093,0.9875,0.9333333333333333,0.9333333333333333,0.9291666666666667,1.0,1.45,0.6628571428571428
s596,0.9921875,0.4083333333333333,0.99375,1.0,0.96,0.9458333333333333,0.9791666666666666,1.1791666666666667,0.4495677233429395
s597,0.96875,0.6416666666666667,0.95,0.96,0.9733333333333334,0.825,0.9166666666666666,1.3666666666666667,0.468
s598,1.0,1.0,0.99375,1.0,0.9866666666666667,0.9875,0.9791666666666666,1.45,0.5068493150684932
s599,,0.1,0.9,0.972972972972973,,,0.9895833333333334,,
s600,,0.1,,0.9866666666666667,,,,,
s601,0.875,0.14166666666666666,0.975,1.0,0.96,0.9125,0.9479166666666666,1.45,0.4908256880733945
s602,0.9609375,0.11666666666666667,0.8875,0.96,0.9066666666666666,0.8791666666666667,0.9479166666666666,1.075,0.4888888888888889
s603,0.9921875,,,,0.8533333333333334,0.8666666666666667,,1.2978260869565217,0.5688888888888889
s604,1.0,0.20833333333333334,0.9125,0.92,0.9733333333333334,0.975,0.90625,1.45,0.5040322580645161
s605,0.9921875,1.0,0.99375,0.9866666666666667,0.9333333333333333,0.875,0.9583333333333334,1.3458333333333332,0.5318352059925093
s606,0.96875,0.7,0.95625,0.9866666666666667,0.92,0.8875,0.9479166666666666,0.9777777777777777,0.5368421052631579
s607,,0.15,0.9625,0.9866666666666667,0.9333333333333333,0.8625,0.9583333333333334,1.3458333333333332,0.5502958579881657
s608,0.9765625,1.0,0.96875,0.9333333333333333,0.9333333333333333,0.8583333333333333,0.4791666666666667,1.3458333333333332,0.5688073394495413
s609,,0.7,0.93125,0.9733333333333334,0.9733333333333334,0.9375,0.9583333333333334,1.1791666666666667,0.6285714285714286
s610,1.0,0.6974789915966386,0.95625,0.9736842105263158,0.96,0.9625,0.9791666666666666,1.4196969696969697,0.43548387096774194
s611,0.96875,0.6083333333333333,0.9625,0.92,0.88,0.9208333333333333,0.9791666666666666,1.1791666666666667,0.535
s612,1.0,0.8333333333333334,0.98125,0.9333333333333333,0.9466666666666667,0.8208333333333333,0.9270833333333334,1.3590909090909091,0.4838709677419355
s613,0.9140625,0.5,0.6,0.9324324324324325,0.7866666666666666,0.7458333333333333,0.8854166666666666,1.3666666666666667,0.4583333333333333
s614,0.9921875,0.125,0.875,0.918918918918919,0.8666666666666667,0.8125,0.96875,1.3785714285714286,0.4970414201183432
s615,1.0,0.8166666666666667,0.9875,0.9866666666666667,0.9466666666666667,0.9541666666666667,1.0,1.3875,0.608843537414966
s616,1.0,0.325,0.9875,1.0,0.9866666666666667,0.9583333333333334,0.9895833333333334,1.45,0.5402298850574713
s617,1.0,0.25833333333333336,0.9625,0.9736842105263158,0.96,0.9625,0.9791666666666666,1.3458333333333332,0.4954128440366973
s618,0.984375,0.8583333333333333,0.96875,0.9733333333333334,0.9733333333333334,0.9333333333333333,0.9479166666666666,1.0958333333333332,0.6622222222222223
s619,0.9765625,0.15,0.9125,0.9210526315789473,0.88,0.7083333333333334,0.8958333333333334,1.0109756097560976,0.5773809523809523
s621,1.0,0.9416666666666667,0.95,0.9864864864864865,0.9333333333333333,0.9416666666666667,0.9895833333333334,1.45,0.4521072796934866
s622,0.9921875,0.2605042016806723,0.9875,1.0,0.9466666666666667,0.9833333333333333,0.96875,1.2174418604651163,0.6216216216216216
s623,1.0,0.9047619047619048,0.54375,0.9230769230769231,,0.5708333333333333,0.84375,1.2174418604651163,
s624,0.96875,0.55,0.8625,0.9210526315789473,0.8666666666666667,0.8208333333333333,0.8958333333333334,1.2416666666666667,0.5804195804195804
s626,0.9609375,0.44537815126050423,0.9875,0.9868421052631579,0.9066666666666666,0.8458333333333333,0.9375,1.4083333333333332,0.430327868852459
s627,1.0,0.6166666666666667,0.98125,0.9733333333333334,0.9866666666666667,0.9416666666666667,0.96875,1.45,0.5286624203821656
s628,1.0,0.85,0.99375,1.0,0.9866666666666667,0.9916666666666667,1.0,1.45,0.4375
s629,0.9609375,0.4166666666666667,0.96875,0.9342105263157895,1.0,0.7583333333333333,0.9166666666666666,0.0,0.5133079847908745
s631,0.984375,0.058333333333333334,0.9625,1.0,0.9866666666666667,0.925,0.9791666666666666,1.4083333333333332,0.3721518987341772
s633,1.0,0.275,0.9875,0.9736842105263158,0.8933333333333333,0.8625,0.9375,1.2208333333333332,0.5349794238683128
s634,0.96875,0.9166666666666666,0.9375,1.0,0.92,0.9333333333333333,0.9479166666666666,1.325,0.7207792207792207
s635,0.2734375,0.8916666666666667,0.94375,0.9452054794520548,0.8266666666666667,0.45,0.9583333333333334,1.3875,0.5267857142857143
