,ANT_acc,discountFix_acc,DPX_acc,motorSelectiveStop_acc,stopSignal_acc,twoByTwo_acc,stroop_acc,WATT_acc,CCTHot_acc
s525,0.39531859740044956,-0.6820893119359511,0.30926251699746865,1.1564559888571746,1.21954746887173,0.6913541398893711,1.2420312607237218,-1.5231653729621466,0.6304716548566949
s526,0.9294786119629231,0.867299521922712,0.5147477672049108,1.1564559888571746,1.21954746887173,0.41641046422659883,0.21204805488130304,-0.2900242310980747,0.4262228557382499
s541,-0.07079904700289749,-0.6467604063223876,0.11791155700235556,1.1564559888571746,1.21954746887173,0.8878196855413919,0.8625041818591063,0.0945270422600814,-0.19133744476712408
s546,0.39531859740044956,-1.0734908830467955,0.5147477672049108,-0.6933148902127308,-0.06472277152049621,0.9901914468774361,0.5202858179902091,0.6266218550171034,-0.3380375096000424
s548,0.9294786119629231,0.028624998503756927,0.7353105723455459,1.1564559888571746,0.8561084401283134,-2.2000099847256336,-0.538184361046367,-3.1702730687265483,-0.18394095621960044
s549,0.39531859740044956,0.958373183616463,0.5147477672049108,-1.0796674767167835,0.5222666938231969,1.0954089184440103,1.2420312607237218,0.51001888617842,0.22941327540957807
s553,0.9294786119629231,-0.41617551791311885,-1.1907889697432308,-0.20588274815962787,-0.06472277152049621,-1.4682209410423797,0.8625041818591063,-0.5241534697305485,-0.549472179431301
s554,-0.07079904700289749,0.4498857868871578,0.11791155700235556,1.1564559888571746,0.5222666938231969,-0.06822270808368357,0.5202858179902091,0.51001888617842,-0.8734473078948546
s555,0.9294786119629231,0.9222749808574775,1.4977596108809326,1.1564559888571746,1.21954746887173,1.0954089184440103,1.2420312607237218,0.51001888617842,0.4171913991135061
s556,0.39531859740044956,-1.4960967342712328,0.30303473628853317,-0.21998548028659703,0.5222666938231969,1.4288051138110576,0.8625041818591063,-0.6976310653659366,-1.3506683662091437
s557,-0.07079904700289749,-0.20913814582137524,0.30926251699746865,1.1564559888571746,0.2159684999315825,0.32978794364975395,0.8625041818591063,-0.9130957956877249,0.3725665004735372
s558,-0.07079904700289749,1.3300343502583913,0.5147477672049108,1.1564559888571746,0.8561084401283134,-0.34774876591018117,1.2420312607237218,0.6446167580997099,1.5746912016079855
s561,0.38741153833942676,-0.6120870056248411,-0.7797912149469188,-0.21998548028659703,-0.3216318392444651,0.24558039570999224,0.5202858179902091,0.9163165486157527,-1.4207477942878737
s567,-3.0017958875300534,-0.2558264702307811,-1.3537533775584394,1.1564559888571746,0.5222666938231969,0.9901914468774361,-0.06527124266747343,0.07701773377290924,0.6226490162352406
s568,-0.47710214766797915,-0.49243744377261983,-1.9922403349323774,0.38521335901498965,-1.586118280915361,-0.4126561245379317,-0.06527124266747343,0.11132125377972762,0.6304716548566949
