		fd_mean	fd_num	fd_perc
sub-s234	surveyMedley	0.11600663497193074	51	8.471760797342192
sub-s251	ANT	0.06813002577729897	16	2.7681660899653977
sub-s251	CCTHot	0.07277189677996009	18	2.3136246786632393
sub-s251	WATT3	0.09583929344720817	42	4.98220640569395
sub-s251	rest	0.08174371609866511	9	1.274787535410765
sub-s251	stopSignal	0.06630456066867238	10	1.9083969465648856
sub-s251	twoByTwo	0.0860252676061613	29	2.8155339805825244
sub-s251	DPX	0.09557535673488336	80	7.285974499089253
sub-s251	discountFix	0.07649071030774743	22	2.3404255319148937
sub-s251	motorSelectiveStop	0.06791624500274511	5	2.525252525252525
sub-s251	stroop	0.06701325149824854	0	0.0
sub-s251	surveyMedley	0.07227423698323189	17	2.823920265780731
sub-s358	ANT	0.08635888491691983	13	2.2491349480968856
sub-s358	CCTHot	0.08896802089915769	13	1.5258215962441315
sub-s358	WATT3	0.10266244361863283	26	3.439153439153439
sub-s358	rest	0.08238463913535321	15	2.1246458923512748
sub-s358	stopSignal	0.12822288953539354	37	7.061068702290076
sub-s358	twoByTwo	0.08806220799119738	10	0.970873786407767
sub-s358	DPX	0.1250796375920549	61	5.560619872379216
sub-s358	discountFix	0.1396556020774427	115	12.143611404435058
sub-s358	motorSelectiveStop	0.14821243141255974	110	11.178861788617887
sub-s358	stroop	0.07098093883761093	4	1.2307692307692308
sub-s358	surveyMedley	0.08775871874831565	21	3.488372093023256
sub-s373	ANT	0.06553861452817172	3	0.5504587155963303
sub-s373	CCTHot	0.06818311819151923	3	0.3492433061699651
sub-s373	WATT3	0.07975870050657644	7	0.819672131147541
sub-s373	rest	0.07261321222100323	3	0.42492917847025496
sub-s373	stopSignal	0.06833239569427221	5	0.9900990099009901
sub-s373	twoByTwo	0.06952714897201569	8	0.7766990291262136
sub-s373	DPX	0.14996711945794222	151	13.677536231884059
sub-s373	discountFix	0.1423659313137049	111	11.708860759493671
sub-s373	motorSelectiveStop	0.11629330930744393	73	7.41869918699187
sub-s373	stroop	0.07792880503720415	0	0.0
sub-s373	surveyMedley	0.11954023612284624	49	8.13953488372093
sub-s445	rest	0.10878141963523463	56	7.932011331444759
sub-s445	stroop	0.0803793079116514	6	1.7699115044247788
sub-s445	surveyMedley	0.10814768594451941	57	9.91304347826087
sub-s445	ANT	0.06901437876330538	14	2.5179856115107913
sub-s445	CCTHot	0.19826615404640355	131	12.620423892100193
sub-s445	WATT3	0.10481994599314214	42	6.521739130434782
sub-s445	stopSignal	0.062237726761679484	2	0.3816793893129771
sub-s445	discountFix	0.07541187705713313	11	1.191765980498375
sub-s465	ANT	0.06357795412005637	0	0.0
sub-s465	CCTHot	0.06641937206410861	11	1.0617760617760619
sub-s465	WATT3	0.06707409766308273	0	0.0
sub-s465	rest	0.06687601513371647	0	0.0
sub-s465	stopSignal	0.05351553378157364	0	0.0
sub-s465	twoByTwo	0.06353745108375991	3	0.2912621359223301
sub-s465	DPX	0.0626943707464085	0	0.0
